,date,text,condition
29826,"2019,2,21","By Express News ServiceMUMBAI: Thousands of tribals, farmers, students and workers gathered at Nashik, who had started their second long march to cover 180 km and reach Mumbai on Thursday withdrew the agitation after successful negotiations with Maharashtra cabinet ministers Girish Mahajan and Jayprakash Rawal.CPI(M) MLA from Surgana in Nashik district J P Gawit made the announcement regarding withdrawal of agitation after the meeting at around 11pm.In wake of delay in implementation of the promises made by the government, a decision has been taken to set up a committee for reviewing the implementation of promises which would meet at intervals of once in two months and give recommendations on implementation of promises, Gavit said while announcing withdrawal of the agitation.Maharashtra irrigation minister Girish Mahajan said that Chief minister Devendra Fadnavis would soon make a formal announcement regarding the promises made to the All India Kisan Sabha (AIKS) delegation today and will also speak about various measures taken by the government over the issue.AIKS president Ashok Dhawale, had earlier in the day said that they had three meetings with Chief Minster Devendra Fadnavis and others including Mahajan. We took the decision to take the long march again only after there was no solution in sight even after three meetings, he said.Recommendations of the National Commission on Farmers headed by Dr MS Swaminathan needs to be implemented. Remunerative price is another big issue. Though government announces MSP, farmers dont get the rate on several occasion. The onion issue in Maharashstra is well known. We have been asking the government to come up with concrete solutions to solve these problems. If they call a special session for GST, why not do so for farmers, Dhawale said while explaining the reasons that led to the march.There is tremendous agrarian distress across the country. Farmers are suffering. It has even reflected in election results. We are trying to bring the agrarian crisis to the national agenda, he added.,2019,2,21",True
42100,"2019,3,31","Central Food Technological Research Institute (CFTRI) director K.S.M.S. Raghavarao on Saturday said a centre of excellence and an incubation centre on millets would come up on the CFTRI campus, at a cost of 15 crore and in collaboration with the State government. The centre will work on bringing out millet-based technology for promoting millets.Speaking after inaugurating the 27th annual general body meeting of the CSIR Pensioners Welfare Association and Convention on Food and Wellness at the IFTTC auditorium at CFTRI, he said the institute was also working on a turnkey project for developing a value-added product from silkworm pupae, a waste product in the silk industry. The State government has allocated a grant of 10 crore towards the project, he said.The CFTRI director said the second phase of the incubation centre for encouraging innovations and startups among entrepreneurs, in collaboration with the Department of IT and BT, is expected to be launched after the general elections. Many ventures at the incubation centre are turning out to be successful and a project fetched the highest grant of 50 lakh. MoUs will be signed for more projects after the polls, he added.He said more than 60 industries have used the technology on virgin coconut oil developed at the institute and most say the technology has been smoothly transferred for commercial production.Mr. Raghavarao also said that pilot plants in the area of food processing on tomato, onion and potato were coming up near Tumakuru and there are also talks to have a similar plant for turmeric. He added that some private hospitals in Mysuru had come forward to offer healthcare services on credit to retired CFTRI staff.The inauguration was followed by sessions where experts in the field of food processing and technology spoke on various subjects.,2019,3,31",True
42497,"2019,3,31","Central Food Technological Research Institute (CFTRI) director K.S.M.S. Raghavarao on Saturday said a centre of excellence and an incubation centre on millets would come up on the CFTRI campus, at a cost of Rs. 15 crore and in collaboration with the State government. The centre will work on bringing out millet-based technology for promoting millets.Speaking after inaugurating the 27th annual general body meeting of the CSIR Pensioners Welfare Association and Convention on Food and Wellness at the IFTTC auditorium at CFTRI, he said the institute was also working on a turnkey project for developing a value-added product from silkworm pupae, a waste product in the silk industry. The State government has allocated a grant of Rs. 10 crore towards the project, he said.The CFTRI director said the second phase of the incubation centre for encouraging innovations and startups among entrepreneurs, in collaboration with the Department of IT and BT, is expected to be launched after the general elections. Many ventures at the incubation centre are turning out to be successful and a project fetched the highest grant of Rs. 50 lakh. MoUs will be signed for more projects after the polls, he added.He said more than 60 industries have used the technology on virgin coconut oil developed at the institute and most say the technology has been smoothly transferred for commercial production.Mr. Raghavarao also said that pilot plants in the area of food processing on tomato, onion and potato were coming up near Tumakuru and there are also talks to have a similar plant for turmeric. He added that some private hospitals in Mysuru had come forward to offer healthcare services on credit to retired CFTRI staff.The inauguration was followed by sessions where experts in the field of food processing and technology spoke on various subjects.,2019,3,31",True
51681,"2019,4,23","Cooking your favourite dish with beans this summer may be an expensive affair. Beans is among the costly vegetables and comes with a retail price tag of nearly Rs. 160 a kg in the city.Dip in yieldThe dip in yield in neighbouring States and searing heat has affected the arrivals to the Koyambedu wholesale market, which is the hub of perishable goods in Chennai. Wholesale traders noted that the market received only half the load on Monday against the usual of 10 lorry loads of beans daily. The vegetable was being sold at a price of Rs. 130 a kg in the wholesale market.However, there are chances for the prices to drop as produce from Udhagamandalam would begin to arrive in the market in the next few days.The cost of most vegetables has spiralled by 20%-25% due to searing heat and lack of rain.Short supply citedTomatoes are now being sold for double the rate in the wholesale market at Rs. 40 a kg. Prices of bitter gourd and snake gourd have gone up owing to short supply. The market gets only 300 truck loads of vegetables against its normal daily share of 375 truck loads, traders said.P. Sukumar, treasurer, Koyambedu Vegetables, Fruits and Flowers Merchants Association, said ladies fingers, onions and brinjals were available for the same rate as last month. Drumstick and cucumber are arriving in plenty as this is the season.Raw mangoes are also priced at Rs. 40-60 a kg and the market would receive more produce in 10 days.Sales has been dull by 30% due to escalating cost and summer vacation. We expect the price to decrease in May when fresh stock comes in from other States, he said.We expect the price to decrease in May when fresh stock comes in from other StatesP. SukumarTreasurer, Koyambedu Vegetables, Fruits and Flowers Merchants Association,2019,4,23",True
85657,"2019,8,3","Food and Civil Supplies Minister Imran Hussain on Friday reviewed the situation of retail prices of tomatoes and onions in Delhi.The Minister met with the Commissioner, Food and Civil Supplies, senior officers of the Food and Civil Supplies Department, APMC and Mother Dairy/Safal. At the meeting, the APMC and Mother Dairy officers informed him that the retail prices of tomatoes have started showing a downward trend. The supplies of tomato have increased from Himachal Pradesh.The agencies informed that retail prices of these commodities are under check. Mr. Hussain also directed the various agencies to take effective action against any hoarding activity, the statement added.,2019,8,3",True
91351,"2019,8,22","With heavy rain in key onion-growing States, such as Maharashtra and Karnataka, fanning fears of a price rise, the Centre has taken steps to control onion rates in Delhi and warned of strict action against hoarders and profiteers.With onions selling at 35-40 per kg at many retail outlets in the Capital, the Department of Consumer Affairs has directed government-owned Mother Dairy to sell onions at its own Safal shops at no more than 23.90 per kg for Grade-A variety. This was the prevailing price at Safal outlets on Wednesday, according to an official statement. The decision was taken following a meeting reviewing onion prices in the Capital chaired by Consumer Affairs Secretary Avinash K. Srivastava.Safal, which owns about 400 outlets in the National Capital Region, is already being provided onions for sale from the government stock built under the Price Stabilisation Fund.The National Agricultural Cooperative Marketing Federation of India and the National Cooperative Consumers Federation of India have also been directed to retail onions at similar rates. Onions from the government buffer will be offered at cost price to large retailers as well.Government will also consider strict action against hoarding and profiteering activities and evaluate the need for imposing minimum export price on onion if the situation so demands, added the statement.,2019,8,22",True
91926,"2019,8,23","By Express News ServiceBHUBANESWAR: Onion price witnessed a sharp surge in the State following short supply from the source States due to floods.The tuber that was priced at Rs 25-a kilo a week ago in the retail market here is now being sold at Rs 35 a kg and is unlikely to come down anytime soon. A month ago, the tuber was being sold at Rs 15 to Rs 20-a-kg.Traders attributed the rise in price to floods in Maharashtra and Karnataka besides ongoing strike by truckers in West Bengal.Odisha is largely dependent on Maharashtra, Madhya Pradesh and Andhra Pradesh for onions. The supply came down drastically as the crop was ruined in floods in two major onion producing States.A trader at the Unit-I market said the State is not getting the commodity from Nashik, Bengaluru and Tadepalligudem (Andhra Pradesh) as per demand.We are now completely dependent on Nashik where the onion was priced Rs 2,000 to Rs 2,200 per quintal. What can we do if the product is highly-priced at the source? The price may come down after the arrival of new crop from Andhra Pradesh, he said.Similarly, potato price also witnessed a rise of 20 per cent due to the truckers strike in WB. The commodity, which was being sold Rs 12-a-kilo, is now priced Rs 15 in the retail market.Since there is a huge gap between demand and supply, the retail price is bound to increase. The State Government has warned traders against hoarding. The officials have been asked to keep a close watch on hoarders and black marketers.Meanwhile, workers of Samajwadi Party led by its State president Rabindra Nath Behera staged a demonstration on Thursday demanding check on onion and potato price.,2019,8,23",True
93301,"2019,8,28","Picture used for representational purpose onlyNEW DELHI: To monitor the retail prices of onion in the city, food and civil supplies minister Imran Hussain on Tuesday directed the officials to take effective enforcement action against hoarding, possible cartelisation and black marketing.At a review meeting, Hussain directed the officials to send teams to various markets and godowns for inspection and sought a daily inspection report.In Video: Action against onion hoarders in Delhi,2019,8,28",True
93329,"2019,8,28","Food and Supplies Minister Imran Hussain on Tuesday asked officials to take action against traders hoarding onions during a review meeting on the soaring price of the vegetable. The price of onion had touched about 50 per kg in the city.The Minister directed Food & Supplies Department and APMC (Agricultural Produce Market Committee) to take effective enforcement action against hoarding, possible cartelization and black marketing, an official statement said.Mr. Hussain also ordered officials to send enforcement teams to various markets and godowns for checking such activities and were directed to send daily inspection reports to him.Officials of APMC informed the Minister that due to floods in Maharashtra, regular supply of onion from Nashik was disrupted for a few days and added that officers concerned have been instructed to normalise the supply.Officers of Mother Dairy/Safal outlets informed that NAFED has sufficient stock of onions and supply in the retail market by Mother Dairy/Safal has been increased so that the retail price may not rise, the statement read.Mr. Hussain also directed Commissioner of Food and Civil Supplies Department to convene regular meetings with stakeholder departments and agencies to ensure that prices of onion and other commodities are stable and under control.,2019,8,28",True
100992,"2019,9,23","Onion prices have skyrocketed owing to incessant rains in the district. A significant number of onions were spoilt following the rain. This coupled with a lesser yield this year, has led to an increase in its price, which is currently being sold upwards of 60 a kg.Both the consumers and the farmers are disheartened. While the consumers are concerned about the sharp increase in prices, the farmers are worried about the lack of proper infrastructure to store the produce.A farmer told The Hindu that there was an immediate necessity to construct better storage facilities so that the onions were not spoilt. Dampness spoils onions. One spoilt onion has the potential to spoil numerous more, the farmer said.Talking about the increase in prices, former market yard chairman Purushottam Reddy said the prices were expected to be high in the next two months. The crops in Maharashtra were also destroyed due to rain. So, there may be an acute shortage of onions, he added. Moreover, Mr. Reddy claims that there was a chance that the prices could go up to 80 per kg depending on the supply.,2019,9,23",True
