13-03-2006,24-04-2006,Normal_train,
15-06-2006,27-07-2006,Normal_train,
28-01-2007,11-03-2007,WEATHER,
15-06-2007,27-07-2007,WEATHER,
05-07-2007,16-08-2007,WEATHER,
16-07-2007,27-08-2007,HOARDING,
07-09-2007,25-10-2007,Normal_train,
22-11-2007,01-04-2008,Normal_train,
13-03-2008,24-04-2008,INFLATION,
30-06-2008,11-08-2008,WEATHER,
02-08-2008,13-09-2008,WEATHER,
16-09-2008,28-10-2008,HOARDING,
20-12-2008,31-01-2009,FUEL-TRANSPORT,
08-03-2009,19-04-2009,HOARDING,
09-04-2009,21-05-2009,WEATHER,
30-05-2009,11-07-2009,WEATHER,
16-06-2009,28-07-2009,HOARDING,
10-08-2009,21-09-2009,HOARDING,
05-09-2009,17-10-2009,INFLATION,
01-10-2009,12-11-2009,HOARDING,
13-11-2009,25-12-2009,WEATHER,
21-12-2009,01-02-2010,INFLATION,
11-03-2010,23-04-2010,Normal_train,
11-05-2010,23-06-2010,Normal_train,
14-06-2010,26-07-2010,HOARDING,
10-09-2010,22-10-2010,WEATHER,
18-12-2010,29-01-2011,HOARDING,
05-08-2011,16-09-2011,WEATHER,
14-08-2011,25-09-2011,WEATHER,
01-10-2011,13-11-2011,Normal_train,
06-09-2011,18-10-2011,WEATHER,
18-09-2011,30-10-2011,HOARDING,
30-12-2011,11-02-2012,Normal_train,
14-03-2012,25-04-2012,HOARDING,
24-04-2012,05-06-2012,WEATHER,
06-06-2012,18-07-2012,HOARDING,
17-06-2012,29-07-2012,WEATHER,
16-07-2012,27-08-2012,HOARDING,
06-08-2012,17-09-2012,WEATHER,
19-08-2012,30-09-2012,WEATHER,
08-05-2012,20-06-2012,Normal_train,
20-06-2012,02-08-2012,Normal_train,
02-08-2012,14-09-2012,Normal_train,
14-09-2012,27-10-2012,Normal_train,
07-01-2013,19-02-2013,Normal_train,
19-02-2013,03-04-2013,Normal_train,
11-04-2013,24-05-2013,Normal_train,
24-05-2013,06-07-2013,Normal_train,
27-07-2013,07-09-2013,WEATHER,
09-08-2013,20-09-2013,WEATHER,
30-09-2013,11-11-2013,HOARDING,
30-10-2013,11-12-2013,HOARDING-WEATHER,
16-04-2014,29-05-2014,Normal_train,
04-06-2014,16-07-2014,HOARDING-WEATHER,
19-08-2014,30-09-2014,HOARDING,
30-09-2014,12-11-2014,Normal_train,
22-01-2015,06-03-2015,Normal_train,
12-05-2015,23-06-2015,HOARDING,
29-06-2015,10-08-2015,WEATHER,
10-08-2015,22-09-2015,Normal_train,
22-09-2015,04-11-2015,Normal_train,
03-05-2016,15-06-2016,Normal_train,
15-06-2016,28-07-2016,Normal_train,
26-07-2016,06-09-2016,WEATHER,
10-08-2016,21-09-2016,HOARDING,
18-08-2016,29-09-2016,HOARDING,
09-12-2016,20-01-2017,INFLATION,
26-03-2017,07-05-2017,HOARDING,
11-06-2017,23-07-2017,WEATHER,
24-07-2017,04-09-2017,WEATHER,
04-09-2017,17-10-2017,Normal_train,
17-10-2017,29-11-2017,Normal_train,
09-03-2018,21-04-2018,Normal_train,
02-05-2018,14-06-2018,Normal_train,
14-06-2018,27-07-2018,Normal_train,
27-07-2018,08-09-2018,Normal_train,
08-09-2018,21-10-2018,Normal_train,
21-10-2018,03-12-2018,Normal_train,
16-01-2019,28-02-2019,Normal_train,
29-04-2019,11-06-2019,Normal_train,
