,Unnamed: 0,articleTitle,articleUrl,publishedDate,sourceName,text
7,7,Something to cheer and chew: veg rates are falling,http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/something-to-cheer-and-chew-veg-rates-are-falling/article5580843.ece,2014-01-16,The Hindu,"The city residents have a reason to smile, amid the news reports that the fall in the vegetable prices has resulted in reduced inflation rates nationwide.After showing no sign of let up since March to till November last year, prices of the vegetables have begun to slide down and finally are within the reach of the common man.The fall in the prices has been remarkable when compared with the prices a month ago with some vegetables such as tomato registering 67 to 75 per cent decline.Brinjal, potato, onions and carrots also recorded a steep decline in prices.In Rythu Bazaars, tomato, irrespective of the variety, costs Rs.4 to Rs.5 per kg, down from its swagger at Rs.14 to Rs.16 per kg a month ago and even worse at Rs.26 for the hybrid variety six months ago.At the wholesale markets, tomato is costing even lesser, at Rs.2 per kg.Brinjal, which was costing Rs.18 per kg on December 18, is now available at Rs.8 per kg, while potato has slid down to Rs.14 per kg from Rs.22 per kg both clocking over 50 per cent fall.Onion, which posed major threat to the government by spiralling to almost Rs.80 per kg till very recently, will now ease the wallet only by Rs.16 per kilogram.Though the vegetable prices usually come down during winter months, the latest price crash is a moment to cherish, in view of the exorbitant prices we had been reeling under till recently, says K.Satyavani, a consumer at the Kothapet Rythu Bazar.However, a few vegetables such as drumsticks and green chillies have become pricier due to paltry arrivals.High yieldRythu Bazars Chief Executive Officer M.K. Singh attributed the plummeting prices to the winter crop.Kothapet Rythu Bazaar, for instance, received 1,000 quintals of vegetables in a single day on January 12 as compared to the average arrivals of 470 quintals per day in July, 2013. The arrivals on some days reached up to 1,300 quintals too, informed Supervisor Padma.The Rythu Bazaars have an additional blessing, in vegetable cultivation being the primary occupation in many parts of the Ranga Reddy district. Mandals such as Shamshabad, Maheshwaram, Kandukur, Yacharam, Ibrahimpatnam, Shamirpet, Medchal, Shankarpally, Chevella, Moinabad and Vikarabad are known vegetable hubs."
14,14,Retail inflation for industrial workers eases,http://www.thehindu.com/todays-paper/tp-business/retail-inflation-for-industrial-workers-eases/article5641274.ece,2014-02-01,The Hindu,"Retail inflation for industrial workers eased to 9.13 per cent in December from 11.47 per cent in November and 11.17 in the same month in 2012 on account of softening of prices of foods items. The year-on-year inflation measured by monthly CPI-IW (Consumer Price Index-Industrial Workers) stood at 9.13 per cent for December, 2013, as compared to 11.47 per cent for the previous month and 11.17 per cent during the corresponding month of the previous year, a Labour Ministry statement said.According the press release, food inflation stood at 11.49 per cent in December against 16.17 per cent in previous month and 13.53 per cent during the corresponding month of 2012.4-point drop in CPIThe all India CPI-IW for December declined by four points and pegged at 239 points. At item level, onion, ginger, chillies green, brinjal, cauliflower, cabbage, peas, tomato, potato and other vegetable items and sugar are responsible for the decrease in the index.However, this neutralised to some extend by fish, eggs, poultry, milk, pure ghee, garlic, fire wood, ESI (employees state insurance) contribution and the like, putting upward pressure on the index.  PTI"
16,16,Bumper harvest pushes veggie prices down,http://timesofindia.indiatimes.com//business/india-business/Bumper-harvest-pushes-veggie-prices-down/articleshow/30242700.cms,2014-02-12,The Times Of India,"JAIPUR: There has been a drastic dip in the prices of vegetables and roots across the state that is the lowest the prices have gone in this season so far. The wholesale traders are expecting this scenario to continue till the last week of February and expect a further dip.Attributing the dip in prices to the good local harvest of tomato, potato, green peas, cauliflower, onions, the traders said there has been a 30% dip in the prices of the vegetables in this season so far compared to February, 2013.""The main reason behind this is a good harvest due to a good monsoon. Last year the monsoon created mayhem and played a spoilsport to the crop. The dip in the wholesale prices is attributed to the cheaper prices in retail,"" said Radhey Shyam Phatak, a wholesale vegetable seller at Muhana Mandi on Tuesday.The price of onion, which had burnt holes in the common man's pocket during September-November 2013, has come down to Rs 11 per kg in the wholesale market and is sold at a price range of Rs 15-20 in the retail market.Traders said farmers in Sikar, Chomu, Sanganer, Bagru and nearby villages have got a bumper crop and due to which the supply of vegetables has increased manifold.""This February has been cheaper compared to 2013 as there is at least a 30% dip in the prices of vegetables. We are not dependent on onions, potato and tomato from Nasik as the local harvest is ample this time,"" said Abdul Saleem, another wholesale trader at the Muhana Mandi.Traders said the dip in the prices of vegetables will continue till the second week of March. ""Till March 15 we are expecting to get the same kind of supply, thus during this period the prices are not going to increase but there could be a further dip,"" Saleem added."
17,17,Inflation cools to 7-month low of 5.05 pc in January,http://www.deccanherald.com/content/386310/inflation-cools-7-month-low.html,2014-02-14,Deccan Herald,"Inflation cools to 7-month low of 5.05 pc in JanuaryNew Delhi, Feb 14, 2014, (PTI): 12:46 ISTWholesale inflation eased to a seven-month low of 5.05 per cent in January, on decline in the rate of price rise in food articles, mainly vegetables.This is the second straight month of decline in wholesale price based inflation. The WPI was at 6.16 per cent in December.During January, inflation in food articles came down sharply to 8.80 per cent as against 13.68 per cent in the preceding month, according to the Wholesale Price Index (WPI) data released today.Vegetables inflation came down sharply to 16.60 per cent, compared to 57.33 per cent in December.The rate of price rise in onion eased to 6.59 per cent in January, from 39.56 per cent in December. Inflation in potato stood at 21.73 per cent in January.Fruits were cheaper as were protein-rich items such as eggs, meat and fish. However, inflation in milk inched up slightly to 7.22 per cent in January.Data released earlier this week showed that retail inflation declined to a 2-year low of 8.79 per cent in January, while industrial output contracted by 0.6 per cent in December.The decline in inflation is much on the expected lines of the Reserve Bank, which had hiked key interest rates by 0.25 per cent in its monetary policy review last month.The Reserve Bank factors both retail and wholesale price based inflation data in its monetary policy.There have been demands from various quarters that the RBI should look at relaxing interest rates as inflation was showing signs of easing and slowdown persisted in industrial output.According to the WPI data, inflation in primary articles basket and the fuel and power segment was at 6.84 per cent and 10.03 per cent, respectively.Inflation in manufactured products such as sugar and edible oils was up marginally at 2.76 per cent on a monthly basis."
19,19,Pace of price rise drops to  8-month low,https://www.telegraphindia.com/1140215/jsp/business/story_17940284.jsp,2014-02-15,Telegraph,"New Delhi, Feb. 14: The rate of wholesale price inflation eased to an eight-month low of 5.05 per cent in January as food prices cooled, bringing relief to policymakers struggling to rein in the price spike. The lower inflation rate can come as a breather for the Reserve Bank of India (RBI), which may decide not to hike interest rates further. In December, the WPI inflation stood at 6.16 per cent compared with 7.52 per cent in November. Persistently high inflation had prompted the RBI to raise key policy rates last month, the third hike since September last year, even as the countrys GDP growth rate is likely to be below 5 per cent in the current fiscal. Januarys inflation rate is the slowest since May 2013, when wholesale prices increased 4.58 per cent. Consumer inflation had also softened in January, falling to a near two-year low of 8.79 per cent. However, core WPI inflation inched up to 3 per cent last month, its highest level since April 2013, which is a cause for worry. Core inflation excludes the volatile components of inflation; the RBI considers non-food manufacturing inflation as core inflation. A. Prasanna, chief economist with ICICI Securities, said, There may still be some scope for food inflation to decelerate in the near term. However, core WPI inflation increased to 3 per cent in January from 2.8 per cent in December. But is this reason for comfort or despair? To the extent the long-period average for the series is closer to 5 per cent , the underlying price pressures may still be deemed comfortable. Inflation in food articles in January came down to 8.8 per cent against 13.68 per cent in the preceding month as vegetable prices fell 21.4 per cent month-on-month. Onion prices climbed 6.59 per cent in January compared with a 39.56 per cent increase in December. Potato prices climbed 21.73 per cent in January. Fruits were cheaper as also protein-rich items such as eggs, meat and fish. However, inflation in milk inched up slightly up to 7.22 per cent in January. Data released this week showed retail inflation to decline to a two-year low of 8.79 per cent in January, while industrial output in December shrank 0.6 per cent, prompting calls by industry for an interest rate cut to boost growth. Todays inflation figures have backed up their demand. The declining inflation should spur the RBI to revisit its monetary policy stance and cut rates, CII director-general Chandrajit Banerjee said."
22,22,Retail inflation slows to 25-month low of 8.1 %,http://www.thehindu.com/todays-paper/tp-business/retail-inflation-slows-to-25month-low-of-81/article5778847.ece,2014-03-13,The Hindu,"Easing onion and potato prices pulled retail inflation in February to a 25-month low of 8.1 per cent, and is likely to increase the clamour for the Reserve Bank of India to cut interest rates in its next monetary policy.Overall inflation in the food basket, including beverages, slowed to 8.57 per cent in February from 9.9 per cent in the previous month, according to Consumer Price Index (CPI) data released by the government on Wednesday.The rate at which vegetable prices increased eased to 14.04 per cent as against 21.91 per cent in January.Prior to the month under review, the lowest CPI was recorded in January, 2012, at 7.65 per cent, which inched up to 8.83 per cent in the following month. Retail inflation was at 8.79 per cent in January.Retail or consumer inflation also slowed in protein-rich items such as eggs, fish and meat to 9.69 per cent in February versus 11.69 per cent in January.The rate of price rise slowed to 9.93 per cent for cereals and related products from 11.42 per cent in January.However, the pace of price increases for milk and its products picked up in February to 10.37 per cent from 9.82 per cent in the previous month.The prices of fruits, condiments and spices also rose faster last month.The RBI, which has maintained a hawkish interest rate regime to tame inflation, is scheduled to announce the next monetary policy on April 1. Industry has been demanding a cut in interest rates to boost economic growth, which has slowed to a decadelow level.Retail inflation has been easing for three months. The CPI data showed inflation rates for rural and urban areas were at 8.51 per cent and 7.55 per cent, respectively.In January, the wholesale price inflation rate fell to an eight-month low. Wholesale inflation data for February will be out on Friday.  PTI"
24,24,Easing food prices pull down inflation to 9-mth low of 4.68%,http://www.deccanherald.com/content/391976/easing-food-prices-pull-down.html,2014-03-14,Deccan Herald,"Easing food prices pull down inflation to 9-mth low of 4.68%New Delhi, Mar 14, 2014, (PTI): 16:55 ISTFor the first time in nine months, inflation slipped below the psychological mark of 5 per cent in February on easing prices of onion and potato, creating headroom for RBI to cut interest rates in the monetary policy review on April 1 to boost sagging economic growth.Inflation based on movement in the Wholesale Price Index (WPI) came down to 4.68 per cent in February, from 7.28 per cent a year ago. It was 5.05 per cent in January 2014.""Need to watch inflation carefully... Happy that overall inflation is coming down,"" Finance Minister P Chidambaram said while expressing satisfaction over improvement in the price situation ahead of the general elections.Food inflation, which has been a major cause of concern for the government, dropped to 8.12 per cent in February, compared to 8.8 per cent in January as the rate of price rise slowed in almost all items, except fruits, rice and milk.Inflation, which is on decline since December, was 5.05 per cent in January. Prior to February, the lowest WPI was recorded in May 2013 at 4.58 per cent. In June, it had inched up again to 5.16 per cent.As per the data released today, rate of price rise for onions - on annual basis - contracted 20.06 per cent in February. Similarly rate of price rise in potato slowed to 8.36 per cent.The overall inflation in the vegetable basket dropped to 3.99 per cent, from 16.6 per cent in January. There was also a drop in prices of pulses, cereals and wheat.However, fruits, milk and other protein-rich items like egg, fish and meat became costlier in February compared to the previous month.Inflation in the manufactured items, like sugar and edible items, was 2.76 same as in January.Commenting on the fall in WPI inflation, Deputy Chairman of Planning Commission Montek Singh Ahluwalia said: ""This is clearly a good news. It shows that this area (price situation) which was not an area that we were comfortable, is now getting into more comfortable range.""Meanwhile, December inflation has been revised upwards to 6.4 per cent, from 6.16 per cent estimated earlier.The Reserve Bank of India, which has maintained a hawkish interest rate regime to tame inflation, is scheduled to announce the next monetary policy on April 1. Industry has been demanding a cut in interest rates to boost economic growth, which has slowed to a decade-low level.Industry body PHDCCI said the decline in WPI inflation is ""inspiring and a positive sign"", and also an indication of price stability going forward.""Since the industry growth is in its low gear at this juncture, the Chamber expects a cut in repo rate in the coming times,"" its president Sharad Jaipuria said.Global credit rating agency Fitch said that in the longer run, structurally lower inflation would benefit growth by improving the investment environment.""Inflation remains high compared with peers, although it came down in recent months due to easing food inflation, as pressures on vegetable prices in particular eased significantly,"" the agency said.The retail inflation, based on Consumer Price Index and also factored in by RBI, fell to a 25-month low of 8.1 per cent in February.On the possibility of RBI cutting interest rate in the next policy review, Chairman of Prime Minister's Economic Advisory Council (PMEAC) C Rangarajan said: ""I think retail inflation at 8 per cent is still high rate. But I believe that if inflation moves down further it will give greater room to the monetary authority to cut interest rates."""
25,25,Inflation below 5% ,https://www.telegraphindia.com/1140315/jsp/business/story_18083199.jsp,2014-03-15,Telegraph,"New Delhi, March 14: Inflation fell below 5 per cent for the first time in nine months in February on the back of a moderation in the prices of onion and potato.The wholesale price index (WPI) came down to 4.68 per cent in February from 7.28 per cent a year ago. It was 5.05 per cent in January 2014.This has created headroom for the RBI to cut interest rates in the monetary policy review on April 1 to boost sagging economic growth.Need to watch inflation carefully. Happy that overall inflation is coming down, finance minister P. Chidambaram said.Planning Commission deputy chairman Montek Singh Ahluwalia said, This is clearly a good news. It shows that this area (price situation) is now getting into a more comfortable range.Food inflation, which has been a major irritant for the government, dropped to 8.12 per cent in February from 8.8 per cent in January as the rate of price rise slowed in almost all items, except fruits, rice and milk.Prior to February, the lowest WPI was recorded in May 2013 at 4.58 per cent.The annual rate of price rise for onions contracted 20.06 per cent in February. The rate of price rise in potato slowed to 8.36 per cent. Overall inflation for vegetables dropped to 3.99 per cent from 16.6 per cent in January. There was also a drop in the prices of pulses, cereals and wheat.However, fruits, milk and other protein-rich items such as egg, fish and meat became costlier in February. Inflation in manufactured items such as sugar and edible items was 2.76, same as in January.Meanwhile, December inflation has been revised upwards to 6.4 per cent from 6.16 per cent estimated earlier."
26,26,Inflation falls below 5 per cent,http://www.thehindu.com/todays-paper/tp-business/inflation-falls-below-5-per-cent/article5786776.ece,2014-03-15,The Hindu,"Inflation slipped to a nine-month low of 4.68 per cent in February on the back of easing prices of onion and potatoes and giving comfort levels for a possible rate cut by the Reserve Bank of India (RBI) in the monetary policy review on April 1.Inflation based on the Wholesale Price Index (WPI) came down to 4.68 per cent in February from 7.28 per cent a year ago. It was 5.05 per cent in January 2014.Reacting to the decline in inflation, Finance Minister, P. Chidambaram said there was need to watch the inflation movement carefully, and expressed happiness that overall inflation was coming down.Food inflation, which has been a major cause of concern for the government, dropped to 8.12 per cent in February, compared to 8.8 per cent in January as the rate of price rise slowed in almost all items, except fruits, rice and milk. Inflation, which is on decline since December, was 5.05 per cent in January. Prior to February, the lowest WPI was recorded in May, 2013, at 4.58 per cent. In June, it had inched up again to 5.16 per cent.As per the data released here, the rate of price rise for onions - on an annual basis  contracted 20.06 per cent in February. Similarly the rate of price rise in potatoes slowed to 8.36 per cent. The overall inflation in the vegetable basket dropped to 3.99 per cent, from 16.6 per cent in January.There was also a drop in prices of pulses, cereals and wheat. However, fruits, milk and other protein-rich items like egg, fish and meat became costlier in February compared to the previous month. Inflation in the manufactured items such as sugar and edible items, was 2.76 same as in January.In a related move, the government revised the inflation figures for December upwards to 6.4 per cent, from 6.16 per cent estimated earlier. The Reserve Bank of India is scheduled to announce the next monetary policy on April 1."
190,190,Fall in vegetable prices brings cheer to Kolkatans,http://timesofindia.indiatimes.com//city/kolkata/Fall-in-vegetable-prices-brings-cheer-to-Kolkatans/articleshow/33415588.cms,2014-08-06,The Times Of India,"KOLKATA: Call it an election effect or a good harvest, food prices in Kolkata have started to climb down. Although retail and wholesale markets across the city have started stabilizing, traders feel that prices will increase after the elections get over.Even a few months ago, markets across Kolkata have been facing a steep hike in vegetable prices. ""But it seems to have moderated a little now,"" said Kamal Banerjee, a trader in New Market.""Prices have come down in the wholesale markets in the last couple of weeks. Naturally, retail prices have also come down giving respite to consumers,"" he said.""Apart from potato, prices of all other vegetables have come down gradually in the last 15-20 days. In fact, we haven't seen so much supply of vegetables in the last one year,"" said Uttam Mukherjee, chief supervisor of Koley market, one of the largest wholesale vegetable markets in the state.""Except for potato prices, prices of all other vegetables have come down,"" he said. Prices of onion at the wholesale market have gradually come down from Rs 50 per kg some months ago to Rs 12-15per kg at present.""What has helped the state so far is a steady supply of locally grown onion. Production of onion in Bankura and Purulia earlier last year has helped in keeping prices low,"" he said. Similarly, prices of other vegetables like wax gourd (patal), lady's finger (dharos), brinjal, and cucumber have come down.""Prices of Jyoti variety of potato have increased from Rs 350 per 50 kg bag in March to Rs 550 kg now. This might come down after the new crop stored in cold storages is released in the market,"" said Gurupada Sinha, a trader in Posta potato market.Mangalmay Haldar has been selling vegetables at the Lake Market for more than 15 years.""Customers are happy about the prices and the quality as well. We had a good supply of vegetables so far. But it might go up again in a month,"" he said.Meanwhile, India's inflation rate has dropped to its lowest level in nine months. The inflation rate has dropped from 7.5% in November. But is this a prelude to elections scheduled a few days ahead?""No political party wants price rise to become an issue before elections. You have to make your own analysis from the fact. Moreover, there has been a good harvest so far,"" said Kamal Banerjee of New Market.Prices of commodities like wheat (atta) and a few varieties of rice have also come down marginally. Urad dal has marginally become cheaper in the last two months. Similarly, prices of atta, suji and 'Govind Bhog' rice have also declined in Posta bazar, the largest wholesale market in the state.While prices of fish have not come down, there has been a decline in prices of eggs. Egg prices at Sealdah market have come down from Rs 350-375 per 100 pcs two months ago to Rs 275-290 at present.""The purchasing power of the middle class and lower middle class has gradually come down over the last one year. That has created a mismatch between supply and demand resulting in a lower price,"" said Kajal Dutta of Kolkata Egg Merchants' Association."
