,date,text,condition
6274,"2019,1,11","This story is from January 11, 2019Download The Times of India News App for Latest CityMake sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results , the big trends and fastest updates on counting day with India's largest news network.Chandigarh: At a time when Punjabs potato farmers are struggling to sell their produce at a respectable price, states kinnow crop has got 200 metric tonne demand from United Arab Emirates(UAE).Punjab Agros managing director, Sibin C, informed that an UAE based company that has the largest retail chain in Asia has finalised the export order with Punjab Agro and the order would be dispatched shortly. The officer said that the UAE based companys delegation had recently visited Punjab and after discussions with the Punjab Agro had sought samples of fresh kinnows.The officer also said that the Punjab Agro Juices Limited (PAJL) would process the 200 metric tonne kinnow fruit during the current kinnow season. He further added that the PAJL has already exported more than 26 containers of concentrate pepper mash cayenne (chilli paste) valued at Rs 2.52 crore to Saudi Arabia and Dubai. According to the managing director, Punjab Agro has received business enquiries for chilli paste from countries like Iran and Mauritius. For making the chilli paste for export, the raw material would be procured from Punjab in the forthcoming season, he said.Punjab Agro is also processing organic amla at its Hoshiarpur plant. It is also processing various other fruits and vegetables at its two multi-fruit and vegetables processing units at Abohar and Hoshiarpur. The managing director said that the organisation is ensuring good prices to farmers by directly marketing fresh fruit and vegetables and by facilitating export.,2019,1,11",True
18926,"2019,2,3","This story is from February 3, 2019Download The Times of India News App for Latest CityMake sense of the 2019 Lok Sabha elections and results on May 23 with TOI. Follow us to track latest news, live updates, news analysis and cutting-edge data analytics. Track live election results , the big trends and fastest updates on counting day with India's largest news network.Chandigarh: In a step to help distressed potato farmers, the Punjab government on Saturday ordered to release of Rs 5 crore for providing freight subsidy for marketing the produce outside the state. After the potato glut in the state, farmers were forced sell their produce cheap and at some places to even dump it.Chief minister Amarinder Singh has directed the agriculture department to take steps to help the potato growers in fetching better prices. He has also directed the department to start steps for export of potato crop, with the help of freight subsidy which would soon be released to the Punjab Agro Industries Corporation.Amarinder has already asked the departments of school education and jails to purchase potatoes from the farmers for use in preparing meals. The chief minister said farmers were also suffering because of the Centres failure to help out the farming community across the country.Around 25 lakh tonnes potatoes are grown on about one lakh hectares in Punjab every year. The potato farmers have been facing problem because of the subdued prices of the crop for the last three years.Amarinder has also sought the industrys support in coming to help potato growers. Additional chief secretary for development Viswajeet Khanna said two potato processing plants would soon start processing the produce with a target of about 35,000 tonnes this season.,2019,2,3",True
42100,"2019,3,31","Central Food Technological Research Institute (CFTRI) director K.S.M.S. Raghavarao on Saturday said a centre of excellence and an incubation centre on millets would come up on the CFTRI campus, at a cost of 15 crore and in collaboration with the State government. The centre will work on bringing out millet-based technology for promoting millets.Speaking after inaugurating the 27th annual general body meeting of the CSIR Pensioners Welfare Association and Convention on Food and Wellness at the IFTTC auditorium at CFTRI, he said the institute was also working on a turnkey project for developing a value-added product from silkworm pupae, a waste product in the silk industry. The State government has allocated a grant of 10 crore towards the project, he said.The CFTRI director said the second phase of the incubation centre for encouraging innovations and startups among entrepreneurs, in collaboration with the Department of IT and BT, is expected to be launched after the general elections. Many ventures at the incubation centre are turning out to be successful and a project fetched the highest grant of 50 lakh. MoUs will be signed for more projects after the polls, he added.He said more than 60 industries have used the technology on virgin coconut oil developed at the institute and most say the technology has been smoothly transferred for commercial production.Mr. Raghavarao also said that pilot plants in the area of food processing on tomato, onion and potato were coming up near Tumakuru and there are also talks to have a similar plant for turmeric. He added that some private hospitals in Mysuru had come forward to offer healthcare services on credit to retired CFTRI staff.The inauguration was followed by sessions where experts in the field of food processing and technology spoke on various subjects.,2019,3,31",True
42497,"2019,3,31","Central Food Technological Research Institute (CFTRI) director K.S.M.S. Raghavarao on Saturday said a centre of excellence and an incubation centre on millets would come up on the CFTRI campus, at a cost of Rs. 15 crore and in collaboration with the State government. The centre will work on bringing out millet-based technology for promoting millets.Speaking after inaugurating the 27th annual general body meeting of the CSIR Pensioners Welfare Association and Convention on Food and Wellness at the IFTTC auditorium at CFTRI, he said the institute was also working on a turnkey project for developing a value-added product from silkworm pupae, a waste product in the silk industry. The State government has allocated a grant of Rs. 10 crore towards the project, he said.The CFTRI director said the second phase of the incubation centre for encouraging innovations and startups among entrepreneurs, in collaboration with the Department of IT and BT, is expected to be launched after the general elections. Many ventures at the incubation centre are turning out to be successful and a project fetched the highest grant of Rs. 50 lakh. MoUs will be signed for more projects after the polls, he added.He said more than 60 industries have used the technology on virgin coconut oil developed at the institute and most say the technology has been smoothly transferred for commercial production.Mr. Raghavarao also said that pilot plants in the area of food processing on tomato, onion and potato were coming up near Tumakuru and there are also talks to have a similar plant for turmeric. He added that some private hospitals in Mysuru had come forward to offer healthcare services on credit to retired CFTRI staff.The inauguration was followed by sessions where experts in the field of food processing and technology spoke on various subjects.,2019,3,31",True
45905,"2019,4,8","Haryana Congress vice-president Aftab Ahmed has accused the State government of step-motherly treatment towards the farmers in Nuh district for not opening enough centres to procure mustard at the Minimum Support Price (MSP) for the crop.As of now, the mustard is being procured at only two centres in Tauru and Punhana, said Mr. Ahmed. Nuh is one of the leading mustard producing districts in Haryana.Mr. Ahmed visited the grain markets across the district over the past one week and found that most of the farmers were forced to sell their produce at a rate which is around 1,000 less than the MSP announced by the Haryana government for mustard.Though the farmers start reaching the grain markets in mid-February with the mustard, the government initiates the procurement process weeks later. By the time the government starts the procurement, most of the farmers have already sold their produce to the commission agents, said Mr. Ahmed.Waive formalitiesHe also demanded that a host of formalities imposed on the farmers, such as online registration and the maximum limit of procurement for six quintals per acre must also be done away with.Mr. Ahmed said the BJP government had promised 50% profit to the farmers for their produce over and above the input cost, but later gave an affidavit to the Supreme Court, saying that it was not possible. He said that it was for the first time that a government had imposed tax on equipment and pesticides used in the farming sector.The government has imposed 12% Goods and Services Tax on tractors and all farming equipment, 18% GST on pesticides and 5% on fertilisers. It even imposed 12% GST on the cold stores where farmers keep potatoes stored, said Mr. Ahmed.He said the Pradhan Mantri Fasal Bima Yojana launched by the BJP government also turned out to be a big scam and helped the big corporates make huge money at the cost of the poor farmers.,2019,4,8",True
46159,"2019,4,8","Haryana Congress vice-president Aftab Ahmed has accused the State government of step-motherly treatment towards the farmers in Nuh district for not opening enough centres to procure mustard at the Minimum Support Price (MSP) for the crop.As of now, the mustard is being procured at only two centres in Tauru and Punhana, said Mr. Ahmed. Nuh is one of the leading mustard producing districts in Haryana.Mr. Ahmed visited the grain markets across the district over the past one week and found that most of the farmers were forced to sell their produce at a rate which is around Rs. 1,000 less than the MSP announced by the Haryana government for mustard.Though the farmers start reaching the grain markets in mid-February with the mustard, the government initiates the procurement process weeks later. By the time the government starts the procurement, most of the farmers have already sold their produce to the commission agents, said Mr. Ahmed.Waive formalitiesHe also demanded that a host of formalities imposed on the farmers, such as online registration and the maximum limit of procurement for six quintals per acre must also be done away with.Mr. Ahmed said the BJP government had promised 50% profit to the farmers for their produce over and above the input cost, but later gave an affidavit to the Supreme Court, saying that it was not possible. He said that it was for the first time that a government had imposed tax on equipment and pesticides used in the farming sector.The government has imposed 12% Goods and Services Tax on tractors and all farming equipment, 18% GST on pesticides and 5% on fertilisers. It even imposed 12% GST on the cold stores where farmers keep potatoes stored, said Mr. Ahmed.He said the Pradhan Mantri Fasal Bima Yojana launched by the BJP government also turned out to be a big scam and helped the big corporates make huge money at the cost of the poor farmers.,2019,4,8",True
60374,"2019,5,13","The Hassan district administration has made preparations to provide seed potatoes to farmers here. A meeting is scheduled for Monday to fix a price for the seeds.The government will also provide subsidy on purchase of fertilisers and medicines for the crop. Potato is grown in many parts of Hassan, Channarayapatna, Holenarasipur and Arsikere taluks. The Horticulture Department has estimated that this year it will be cultivated in 15,000 ha in the district. Merchants have already procured over 20,000 tonnes of seed potatoes from Punjab. These are being kept in cold storage units in the industrial area on the outskirts.Potato is among the major cash crops of the district. The area of potato cultivation dropped in recent years following the late blight that caused huge loss. Many farmers shifted to maize. The department procured certified seeds to ensure the crop did not attract late blight disease.Officials unhappyUnlike in previous years, the department has not made any attempt to procure certified seeds for the currentseason. However, officers are not happy with the result. Minister for Public Works H.D. Revanna, who is also in-charge of Hassan district, suggested against procurement of certified potatoes as the cost would be higher.Deputy Commissioner Priyanka Mary Francis has reviewed the preparations made for selling seed potatoes. The price is yet to be decided.,2019,5,13",True
60642,"2019,5,13","The Hassan district administration has made preparations to provide seed potatoes to farmers here. A meeting is scheduled for Monday to fix a price for the seeds.The government will also provide subsidy on purchase of fertilisers and medicines for the crop. Potato is grown in many parts of Hassan, Channarayapatna, Holenarasipur and Arsikere taluks. The Horticulture Department has estimated that this year it will be cultivated in 15,000 ha in the district. Merchants have already procured over 20,000 tonnes of seed potatoes from Punjab. These are being kept in cold storage units in the industrial area on the outskirts.Potato is among the major cash crops of the district. The area of potato cultivation dropped in recent years following the late blight that caused huge loss. Many farmers shifted to maize. The department procured certified seeds to ensure the crop did not attract late blight disease.Officials unhappyUnlike in previous years, the department has not made any attempt to procure certified seeds for the currentseason. However, officers are not happy with the result. Minister for Public Works H.D. Revanna, who is also in-charge of Hassan district, suggested against procurement of certified potatoes as the cost would be higher.Deputy Commissioner Priyanka Mary Francis has reviewed the preparations made for selling seed potatoes. The price is yet to be decided.,2019,5,13",True
65924,"2019,5,27","Potato growers of Hassan have decided to stage a protest in the city on Tuesday seeking fulfillment of their demands, including the procurement of certified seeds. The protest will be held under the banner of the Hassan district unit of Karnataka Prantha Raitha Sangha.In a release here on Sunday, H.R. Naveen Kumar, district president of KPRS, said the crop had been losing its sheen owing to the governments reluctance to encourage its cultivation.The KPRS convened a meeting of growers in Hassan on May 20 and they resolved to stage the protest to highlight their demands.Some of them include providing farmers with medicine for free to tackle fungal infection, minimum support price as per the recommendations of the Dr. M.S. Swaminathan Report, and setting up factories to add value to the crop as a measure to expand its market.,2019,5,27",True
86584,"2019,8,6","Students wade through floodwater on their way to school at Thhanelanka in East Godavari district, Andhra Prade... Read MoreDownload The Times of India News App for Latest CityRAJAHMUNDRY/AMARAVATI: The flood in river Godavari is gradually receding but it may take three more days for normalcy to return in hundreds of marooned villages in East and West Godavari districts of Andhra Pradesh, officials said on Monday.The second warning has been scaled down to first as inflow at Sir Arthur Cotton Barrage at Dowaleswaram fell to 11.32 lakh cusecs in the evening.The first warning signal is likely to continue for the next couple of days as over four lakh cusecs of water is being discharged from Pranahita in Telangana.The situation would ease in the next three days as rains have stopped in the catchment area of Godavari.According to the State Disaster Management Authority, 18 mandals (202 villages) in East Godavari and 22 (218 villages) in West Godavari were affected by the flood.A team of ministers, including Alla Nani, East Godavari district-in-charge minister, deputy chief minister Pilli Subhash Chabdra Bose, agriculture minister K Kanna Babu and social welfare minister Penepe Viswaroop visited A Veeravaram and Musurumilli villages in Devipatnam mandal on Monday.They visited relief camp at Ashram school in Musurumilli and reviewed relief measures. They also visited a medial camp for the flood-hit people and asked officials to extend medical services to the needy.They visited a relief camp at A Veeravaram and said 25 kg rice, red gram, palm oil, potatoes and inions would-be distributed to flood victims.The ministers said the copper dam in the Polavaram project exacerbated the flood. The ministers asked officials to take up sanitation works to avoid outbreak of contagious diseases after water receded.In West Godavari, 49 villages in Polavaram and Velairpadu mandals are still marooned. The floodwaters have caused damaged to Necklace bund from Old Polavaram to Yedlapalem built at a cost of Rs 5 crore to safeguard Polavaram village.The Godavari waters receded to 12.82 meters at Polavaram in the evening and Kademma Bridge was ready for traffic. Officials said the water level at upper cofferdam recorded at 27.1 meters and 11.60 lakh cusecs of water was flowing through the Godavari.CWC assistant engineer Saravanan said waters may rise again on Tuesday as more inflows were recorded in the river from catchment areas. The 29 villages in Velairpadu mandal are still marooned even the flood levels slowly receding in that area.,2019,8,6",True
