,Unnamed: 0,articleTitle,articleUrl,publishedDate,sourceName,text
6,6,"Production looks up, farmers downcast",http://www.thehindu.com/todays-paper/tp-national/production-looks-up-farmers-downcast/article2773051.ece,2012-01-04,The Hindu,"Buoyed by a record food production (241.56 million tonnes) in 2010-11 and expectation of the highest ever (123.95 million tonnes) output in kharif of 2011-12, the Centre has projected a total output of 245 million tonnes in 2011-12. This, despite the the sown area being lower in wheat, oilseeds, pulses and coarse grains this rabi season. Rabi paddy, though, has improved over last year.Agriculture Ministry officials appear satisfied with the progress made in 2011(calendar year). In fact, the Ministry recommended lifting of the ban on export of wheat and rice in view of the comfortable stock position. Wheat exports, prohibited since October 2007, have been allowed under Open General Licence since September 2011.Of special significance to the officials is that the major increase in foodgrains production has come from the non-traditional States of Rajasthan, Andhra Pradesh, Uttar Pradesh, Maharashtra, Karnataka, Chhattisgarh and Gujarat.However, the year was also marked by continuing suicide by farmers, testifying to the fact that the growers remain in debt and are distressed, not getting remunerative price for their produce. Recently, Punjab farmers threw away their potato produce as it did not fetch them enough even to cover the input costs. There is also a simmering discontent among farmers over the shortfall in fertilizers.In Andhra Pradesh, farmers have taken a crop holiday and Punjab farmers are threatening to do the same. In fact, there are worrisome reports of Punjab farmers shifting from traditional to cash crops like sweat peas and maize this rabi. In recent years, maize, a cash crop, has emerged as a preference for its requirement in the poultry sector. With the problem of storage (of wheat and rice) staring the government in the face, some diversification is acceptable to it, especially as the requirement of foodgrains for its mandatory obligation under the National Food Security Bill is still far away.ControversyThe Bill, introduced in the Lok Sabha during the winter session, has been referred to the Standing Committee. In any case, the passage of the Bill is embroiled in a controversy over the Socio-Economic Caste Census that is supposed to facilitate identification of beneficiaries. Uttar Pradesh and Bihar have raised objections. At the same time, a technical panel in the Planning Commission has been asked to look into the poverty estimates recommended by the Suresh Tendulkar Committee.All of this was reflected in the difficulty Agriculture Minister Sharad Pawar faced in responding to the Rajya Sabha debate on the agrarian crisis and farmers' suicides. A cornered Minister took refuge in the fact that several issues related to agriculture such as irrigation, power, fertilizers, credit and storage were not within the purview of his Ministry. However, cutting across party lines, Opposition members did not relent until Mr. Pawar came up with the suggestion to form a House committee to study the matter.For the record, with a paltry allocation of Rs. 400 crore, the Agriculture Ministry turned its focus during 2011 to enhancing production in the eastern States of Bihar, Assam, Jharkhand, Chhattisgarh, Odisha, eastern Uttar Pradesh and West Bengal under the Rashtriya Krishi Vikas Yojna. The allocation is considered poor by most States as it has to be implemented in a difficult terrain with poor infrastructure.Under the National Food Security Mission for crop development, the best achievement so far is in pulses: from a stagnating level of 14.5 million tonnes over the past 15 years, the production in 2010-11 reached 18.09 million tonnes. The adoption of 60,000 pulses villages gave a boost to the programme.Pigeon pea genomeRecently, Indian Council of Agriculture Research scientists, in collaboration with State Agriculture Universities and Banaras Hindu University, succeeded in decoding the pigeon pea (arhar) genome. Use of pigeon pea germ plasm resources is expected to accelerate the development of new varieties and hybrids brightening up the chances of higher productivity of pulses.During the year, the government set up the Norman Borlaug Institute for South Asia with centres in Ludhiana (Punjab), Samastipur (Bihar) and Jabalpur (Madhya Pradesh). The institute will collaborate with others globally to meet food security challenges.The ICAR also launched a National Initiative on Climate-Resilient Agriculture for conducting research in adaptation and mitigation to climate change in crops, livestock and fisheries, and for natural resource management.All in all, the year that went by was a lucky one for crop production, in that the monsoon was favourable. The challenges in the coming year are high input costs, fertilizer shortage, making agriculture remunerative and finding storage space for farm produce, not to mention the wait and watch for a normal monsoon."
7,7,Food inflation dips to -3.36 percent; RBI may cut rates,http://www.deccanherald.com/content/216883/food-inflation-dips-336-percent.html,2012-01-05,Deccan Herald,"New Delhi, Jan 5 (IANS) 18:57 ISTThe sharp drop in food inflation and easing in overall inflationary pressure may prompt the Reserve Bank of India (RBI) to cut policy rates in its next monetary policy review later this month.The annual food inflation fell to -3.36 percent for the week ended Dec 24, as compared to 0.42 percent in the previous week and 20.84 percent during the corresponding week of last year.""There has been substantial improvement. Food inflation has turned negative for the first time in recent memory,"" Finance Minister Pranab Mukherjee told reporters, reacting on the weekly data.Food inflation during the week under review was the lowest since April 2006. After remaining near double-digit for almost two years, food inflation has dropped sharply in the last two months. It has dipped for the ninth consecutive week.It came down to single-digit in the second week of November and has slid consistently since then. It was recorded at 10.63 percent for the week ended Nov 5. The sharp decline in food inflation is partly because of the base effect and also improved supply of seasonal crops. During the corresponding weeks of last year, annual inflation was almost near 20 percent.The data released by the ministry of commerce and industry showed the prices of vegetables were less than half during the week when compared to the prices in the corresponding week of last year.Onions became cheaper by 73.74 percent while the price of potatoes dropped by 34.01 percent year-on-year. Inflation in overall primary articles, which has 20.12 percent weightage in the wholesale price index, also dropped sharply to 0.10 percent for the week ended Dec 24 as compared to 2.70 percent in the previous week and 22.68 percent in the corresponding week of last year.However, fuel and power inflation rose marginally to 14.60 percent during the week under review as compared to 14.37 percent in the previous week. Economists said the recent drop in food inflation and easing in overall inflationary pressure may prompt the central bank to cut interest rates.""The environment appears to be in favour of the Reserve Bank of India reversing its monetary policy stance,"" said C. Rangarajan, chairman of the Prime Minister's economic advisory council.The RBI last month kept policy rates unchanged after hiking the key rates 13 times since the beginning of 2010. Rangarajan said food inflation was likely to remain near zero or in the negative territory till March.""This was expected as the seasonal trend has caused vegetable prices to come down in the recent months. I see food inflation negative in January and negative or close to zero by March.""The fall in food inflation has raised hopes of a decline in headline inflation based on the wholesale price index which, according to the latest available data, was recorded at 9.11 percent in November.Rangarajan said the overall inflation would fall below 7 percent by the end of the current financial year.The following are the yearly rise and fall in prices in the week under review of some main commodities that form the sub-index for food articles:Onions: (-) 73.74 percentVegetables: (-) 50.22 percentFruits: 10.87 percentPotatoes: (-) 34.01 percentEggs, meat, fish: 13.82 percentCereals: 1.97 percentRice: 1.46 percentWheat: (-) 3.41 percentPulses: 13.85 percent"
8,8,Food inflation turns negative; RBI may cut interest rates,http://timesofindia.indiatimes.com//business/india-business/Food-inflation-turns-negative-RBI-may-cut-interest-rates/articleshow/11375377.cms,2012-01-05,The Times Of India,"NEW DELHI: Food inflation turned negative in late December for the first time in many years as prices of vegetables like onion and potato declined, a development that may prompt the Reserve Bank of India to go for rate cuts at its next monetary policy review later this month.Food inflation, measured by the wholesale price index (WPI), plunged to (-) 3.36 per cent as on December 24. This is the first time in almost six years, for which data with base year 2004-05 is available, that food inflation has shown a decline on an annual basis.Encouraged by the development, finance minister Pranab Mukherjee said, ""There has been substantial improvement. Food inflation has turned negative for the first time in the recent memory.""Food inflation stood at 0.42 per cent in the previous week. It was 21 per cent in the corresponding week of 2010.According to official data released today, onion became cheaper by 73.74 per cent year-on-year during the week, while potato prices were down by 34.01 per cent. Prices of wheat fell by 3.41 per cent. Overall, vegetables became 50.22 per cent cheaper during the week ended December 24.The fall food prices has been substantial since the first week of November, when food inflation stood at double-digit.""The environment appears to be in favour of the Reserve Bank reversing its monetary policy stance,"" Prime Minister's Economic Advisory Council chairman C Rangarajan said.RBI, which has raised interest rates 13 times since March, 2010 to contain inflation, has already paused rate hike in its December mid-quarter policy review. The central bank is scheduled to announce next policy review on January 24."
9,9,Contract farming way out for potato growers,http://timesofindia.indiatimes.com//city/kolkata/Contract-farming-way-out-for-potato-growers/articleshow/11370291.cms,2012-01-05,The Times Of India,"BANKURA: Plummeting potato prices for three consecutive years have prompted farmers to switch to contract farming this season. The reason is obvious. No one wants to get burdened with loans after the farming when it costs Rs 14,000 a bigha. The trend is picking up in as many as 19 blocks of south Bengal - Hooghly, Burdwan, Birbhum, West Midnapore, Howrah and Bankura.""Potato farming is becoming disastrous with packets of the crop kept in cold storage offered at 50 paisa or one rupee a kilo without any taker,"" said Meghanjan Dutta of Shiromonipur village under Kotulpur block in Bankura.For them, tying up with the PepsiCo India is the only alternative for an assured return. ""It's not that they are offering much. But at least we are assured of the return six months ago. Also, we don't have to take the produce to the local mundi or transport them to the cold storage on our own,"" Dutta said.What is the contract? The farmer gives his land and labour. PepsiCo officials provide the seed - Atlanta and Chipsona - different from the traditional Jyoti or Pokhraj variety and the technology support. They supervise the cultivation and give advice to farmers from time to time. After the yield they take the produce to their own storage. The farmer gets Rs 6 for each kilo of potato. Advantage for the hapless farmers is that they get to know about the procurement price while they start sowing the seeds. They get crop insurance, seeds and loans from PepsiCo agents that they need to pay after the yield.Meghraj Dutta, owner of 6 bigha of land, has had enough of traditional cultivation.""We didn't take to contract farming last year though the PepsiCo came to our village. We thought that the price on offer by the company was too low compared to the profit we made in the open market four years ago. But it didn't happen. Prices kept falling despite the rising input costs such as seeds, fertilisers, insecticides. I can't take it any more. I thus opted for contract farming though the procurement price is not high. The second thing is that the company won't take all the produce. It will grade potatoes and take those that suit its requirement. It becomes difficult to sell the reject low sugar potato variety. But then it is better than what we are facing now,"" Dutta said.Owner of two-bigha land Chittaranjan Nandi of Panahar village has also joined hands with PepsiCo. ""With the profit I earned five years ago I married off my two daughters. Now I can't support my son studying at the Chandernagore Government College even. I can't take the risk,"" Nandi said. Shyamsundar Guin from the Galsi block in Burdwan is also going for contract farming on 10 bighas of land. ""Some farmers in the Kalna block have also opted for contract farming,"" Guin said.Sensing the mood, the PepsiCo Holdings India has doubled its target this year. It plans to rope in 9,000 farmers doing the job in 5,000 acres of land. Assistant manager PepsiCo, Fritolay division Prabal Roy said: ""We are not going for direct purchase from farmers. We are procuring the produce through vendors. Last year purchased 10,000 tonnes of potato and sent it our stores. We plan to procure 20,000 tonnes this season. We won't release this potato in the market. We thank the state government and officials of allowing us approach the villagers.""Incidentally, PepsiCo made an entry into potato farming in Hooghly during the Buddhadeb Bhattacharjee government. During the Left Front tenure, it could not make foray in Bankura because of political opposition.Sukdeb Shyam of Baghrol village in Bankura, however, stood out as one who has taken to traditional farming even this season. Shyam owns 15 bighas of land and is in a position to sustain the loss. ""I suffered a loss of Rs 7,000. But I am not into contract farming. I hope to make profits from the traditional variety this season. The price on offer by the PepsiCo is not encouraging,"" said Shyam.Deputy director Bankura agriculture division Abani Mohan Hazra said PepsiCo approached the division. ""Their (PepsiCo) officials told us that the company had been carrying out commercial farming on an experimental basis. This time, they want to go for it in a big way. With farmers in distress we chose not prevent them. We asked them to get in touch with the farmers directly and carry out the cultivation if they agree,"" Hazra said."
10,10,Congress blames Mamata for farmers' plight,http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/congress-blames-mamata-for-farmers-plight/article2776569.ece,2012-01-05,The Hindu,"The State Congress on Wednesday called for a State-wide agitation against the Trinamool Congress-led government for its failure to improve the condition of farmers in the State, some of whom have committed suicide.On Tuesday, Chief Minister Mamata Banerjee had put the blame on the Centre and claimed that neither could she raise the minimum support price of crops for farmers nor reduce the prices of fertilisers.At a demonstration to highlights the concerns of farmers, Congress leaders said that the lacuna lies in the implementation of the State Government and not in the Centre's policies, which are the same for all the States. The crisis faced by the farmers is that they are not getting the minimum support price of Rs. 1080 per quintal fixed by the Centre. The government does not have any mechanism to buy the produce from the farmers, said West Bengal Pradesh Congress Committee President Pradip Bhattacharya.Mr. Bhattacharya explained that when farmers have to sell their produce at rice mills and are authorised to get the payments only through cheques, they are forced to sell their produce to local agents at a lower price. He directed Congress workers to hold demonstrations in front of the offices all district magistrates during the month to highlight the issue.The State Government has fixed a procurement target of 20-lakh metric tonnes of food grains, but so far just a little over two-lakh metric tonnes have been procured, State Irrigation Minister Manas Bhunia said.Pointing out the shortcomings of the State Government in its management in the agriculture sector, Mr. Bhunia also said that of the 1018 rice mills in the State, 350 are closed. He added that the public distribution system, through its 28,873 ration shops, was not functioning well.Congress MP Deepa Dasmunshi alleged that farmers are selling paddy at a far lower price than they used to sell during the Left Front Government. While the farmers used to sell (one quintal of paddy) for Rs.700 to Rs.800 during the Left Front's rule, today under the government of ma, mati, manush , they are forced to sell the same produce for Rs.500 to 600, she said.Jute cultivators and potato growers were also being forced into distress sales of their produce, the Congress leaders said.Criticising the Trinamool Congress opposition to foreign direct investment in the retail sector, the State Congress leadership alleged that the party has deprived farmers of the opportunity to get higher prices for their produce."
11,11,"Production up, farmers downcast",http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/production-up-farmers-downcast/article2776009.ece,2012-01-05,The Hindu,"Buoyed by a record food production (241.56 million tonnes) in 2010-11 and expectation of the highest ever (123.95 million tonnes) output in kharif of 2011-12, the Centre has projected a total output of 245 million tonnes in 2011-12. This despite the sown area being lower in wheat, oilseeds, pulses and coarse grains this rabi season. Rabi paddy, though, has improved over last year.Union Agriculture Ministry officials seem satisfied with the progress made in 2011. In fact, the Ministry recommended lifting of the ban on export of wheat and rice in view of the comfortable stock position. Wheat exports, prohibited since October 2007, have been allowed under Open General Licence since September 2011.Of special significance to the officials is that the major increase in foodgrain production has come from non-traditional States of Rajasthan, Uttar Pradesh, Chhattisgarh, Maharashtra, Karnataka, Gujarat and Andhra Pradesh.However, the year was also marked by continuing suicide by farmers, testifying to the fact that the growers remain in debt and are distressed, not getting remunerative price for their produce. Recently, Punjab farmers threw away their potato produce as it did not fetch them enough even to cover the input costs. There is also a simmering discontent among farmers over the shortfall in fertilizers.A crop holidayIn Andhra Pradesh, farmers have taken a crop holiday and Punjab farmers are threatening to do the same. In fact, there are worrisome reports of Punjab farmers shifting from traditional to cash crops like sweat peas and maize this rabi. In recent years, maize, a cash crop, has emerged as a preference for its requirement in the poultry sector. With the problem of storage (of wheat and rice) staring the government in the face, some diversification is acceptable to it, especially as the requirement of foodgrains for its mandatory obligation under the National Food Security Bill is still far away.The Bill, introduced in the Lok Sabha during the winter session, has been referred to a Standing Committee. In any case, the passage of the Bill is embroiled in a controversy over the Socio-Economic Caste Census that is supposed to facilitate identification of beneficiaries. Uttar Pradesh and Bihar have raised objections. At the same time, a technical panel in the Planning Commission has been asked to look into the poverty estimates recommended by the Suresh Tendulkar Committee.All of this was reflected in the difficulty Agriculture Minister Sharad Pawar faced in responding to the Rajya Sabha debate on the agrarian crisis and farmers' suicides."
13,13,Food prices dip on improved supply ,https://www.telegraphindia.com/1120106/jsp/business/story_14969441.jsp,2012-01-06,Telegraph,"New Delhi, Jan. 5: For the first time in six years, food items became cheaper in December on the back of improved supply of vegetables.High base effect also played its role in food inflation declining to a negative 3.36 per cent in late December.There has been substantial improvement. Food inflation has turned negative for the first time in recent memory, finance minister Pranab Mukherjee said.The Prime Ministers economic advisory panel favoured rate cuts by the Reserve Bank and hoped headline inflation, too, would fall below the projected 7 per cent by March-end.Food inflation stood at 0.42 per cent in the week ended December 17. It was 21 per cent in the corresponding week of 2010. This was the first time the food price index has declined since April 2006.The fall in food prices have been substantial since the first week of November, when food inflation stood at double-digits. Experts attributed the decline to the high base of the previous year and to good kharif output.Food inflation has turned negative on the favourable impact of lower food prices and elevated base effect. It is probable that food inflation might remain subdued till mid-February, Standard Chartered economist Anubhuti Sahay said.According to official data, onion became cheaper by 73.74 per cent year-on-year during the week, while potato prices were down 34.01 per cent. Prices of wheat fell 3.41 per cent. Overall, vegetables became 50.22 per cent cheaper during the week ended December 24.However, fuel inflation accelerated to 14.6 per cent. Prices of protein-rich items such as eggs, milk and pulses have also remained high.Pulses grew costlier by 13.85 per cent during the week under review, while milk grew dearer by 9.49 per cent and eggs, meat and fish by 13.82 per cent.We have to wait for December inflation figures to see if the non-food manufacturing numbers have also followed the same path. The December numbers will indicate when and how the RBI will act, PMEAC chairman C. Rangarajan said.The environment appears to be in favour of the RBI reversing its monetary policy stance, he said."
14,14,'Govt has no solution to clear potato stock',http://www.hindustantimes.com/india/govt-has-no-solution-to-clear-potato-stock/story-a64c4LNnBW2MXpdBcxBAVN.html,2012-01-06,Hindustan Times,"Jung Bahadur Sangha, a potato grower of Jalandhar district, feels let down by the government. Since 2010, the 53-year-old farmer has not been able to recover the cost of cultivating potatoes on 5,000 acres of land. The reason: a glut production and no space in cold storages across Punjab.In 2010, I recovered only 80% of the cost of production and in 2011 I managed to get back only 50% in spite of a bumper crop, a distraught Sangha told HT. There are 6,000 tonnes of crop in my cold storage alone.Potato is grown on nearly 80,000 hectares in Punjab, primarily in the Doaba belt  area between Sutlej and Beas rivers that comprises of Jalandhar, Kapurthala, Nawanshahr and Hoshiarpur districts.With a bumper harvest this season as well, prices of potatoes have hit an all-time low of R1 per kg. Farmers say that due to increased farming input costs, growing potato costs them at least Rs 5 per kg.Farmers also feel the governments freight subsidy of 50 paise per kg for transportation within the country and Rs 1.50 for export is too meagre.Fresh crop is ready for arrival and the government has left us in the lurch with no solution to clear up the piled stock. I am sending my crop to Guwahati, but I cant even recover the cost of freight, Sangha said.Sangha has urged the Central Potato Board to protect the interests of potato farmers by encouraging versatile use of the tuber crop."
15,15,Food prices drop for first time in 6 years,http://timesofindia.indiatimes.com//city/delhi/Food-prices-drop-for-first-time-in-6-years/articleshow/11380946.cms,2012-01-06,The Times Of India,"NEW DELHI: Food inflation turned negative for the first time in nearly six years in late December as prices of vegetables, potato, onion and some cereals fell sharply, prompting analysts to say the data provided headroom for the Reserve Bank of India (RBI) to cut interest rates and support growth.Data released by the commerce and industry ministry on Thursday showed food inflation, as measured by the wholesale price index, fell by 3.36%  sharply lower than the previous week's 0.42%. It stood at 20.84% in the same year-ago period.Finance minister Pranab Mukherjee said there was substantial improvement in the food inflation situation. ""Food inflation has turned negative for the first time in recent memory,"" he told reporters.Thursday's data showed vegetable prices fell by 50.22% year-on-year while potato prices declined an annual 34.01%. Onion prices which had shot up last year fell by 73.74% year-on-year. Wheat prices declined an annual 3.41%. But price of pulses firmed up an annual 13.85% during the week under review.C Rangarajan, chairman of the Prime Minister's Economic Advisory Council, said he expects the overall inflation to ease below 7% by end-March. Policymakers have been wrong-footed several times in the past two years while predicting the inflation trend.""We have to wait for December inflation figures to see if the non-food manufacturing numbers have also followed the same path. The December numbers will indicate when and how RBI will act,"" he told reporters. ""The environment appears to be in favour of the Reserve Bank reversing its monetary policy stance,"" he said.Soaring food prices for more than one year have hit household budgets and contributed significantly to overall inflation which has hovered around double-digits.Economists said the decline in food inflation was largely due to a statistical base effect but also showed that supplies had improved significantly.""The supplies have been relatively better. We expect December inflation around 7.5% and expect the RBI to first reduce the cash reserve ratio in its January policy and then follow it up with a rate cut over the next two-three months,"" said Samiran Chakraborty, economist at Standard Chartered Bank. Overall inflation in November remained above the 9% mark and data for December is expected next week.Stubborn inflation had forced the RBI to raise interest rates 13 times since last March. It announced a pause in its tightening cycle in the recent policy review. The central bank has said its strategy may now change to supporting growth if there is significant evidence of inflation easing. Analysts and bankers expect the RBI to cut rates soon. The economy is expected to grow around 7.5%, sharply slower than the previous estimate of over 9%.The index for food articles group declined by 0.2% to 190.0 from 190.3 for the previous week due to lower prices of jowar, fruits and vegetables, gram and moong (1% each). But prices of chicken (3%), egg, ragi and maize (2% each) moved up.The data also showed that prices of fruits, milk, egg, meat and fish prices remained stubborn. Protein-based items have remained stubborn due to rising demand and economists say they still remain as pressure points.""The trend of sharp decline in food inflation has increased the probability of interest rate cuts,"" said D K Joshi, chief economist at ratings agency Crisil.The government is exulting in the fact that food inflation has consistently seen a downward swing in recent times. It has now slumped further to settle at -3.36%. Yet the benefits haven't percolated down to the consumers, who are at the receiving end of retail bullying. They are now questioning the significance of an index that fails to reflect ground reality.Food prices in October and November, Delhiites say, were so high that a marginal drop in December made no difference to their lives. Moreover, depending on where they stay and who they buy their vegetables from, Delhiites will be spending differently on the same food.Rama Ghosh, a resident of CR Park, says other than onions and potatoes, all other vegetables either cost the same as they did in November, or there is a very minute difference in their prices. ""I buy vegetables in Govindpuri where the prices have always been lower and the fall in rates has also been sharper,"" she says.Anita Singh of east Delhi claims prices have come down sharply since November. ""I've been buying cauliflower for Rs 20 per kilo,"" she says. But Ruma Roy from Gulmohar Park disagrees. She has been purchasing cauliflower for Rs 30 per kilo, ""a preposterous price for a winter vegetable"".""Wholesale prices in December 2011 were much lower compared to prices in December 2010. Even now, prices are lower than what they were a month ago, but retailers continue to milk consumers for what they are worth,"" says an official of Azadpur mandi.With prices of several commodities having gone up in 2011, including fuel, milk, dairy products and LPG, consumers say that a minor drop in vegetable prices goes almost unnoticed. ""I don't know whether such marginal reduction in prices should be highlighted by the government. In fact, if prices of potatoes and onions have reduced, the prices of other items are going up. People cannot eat only potatoes. Dal specially is very expensive  Chana dal is about Rs 70 per kg. I have five children at home. Do you think we can manage our expenses like this? We often fail to give children the kind of food they want to eat,"" says Saroj Chalia, a resident of Rohini.Many feel that the claims of the government or economists have not translated to any benefit for the consumer. ""These are mere claims. There is hardly any change in prices. Rather, the change is so small that it doesn't matter. I think the pricing of food products also depends on the area. I am a resident of Vasant Kunj in south Delhi. It is very expensive to shop there. Arhar dal, for instance, is Rs 80 per kg. We have to compromise on our purchases as we are not able to buy all kinds of dal,"" says Shefali Mishra, a DU professor.Rajan Sachdev, owner of a grocery store at INA, feels the difference is too marginal to count. "" The change in prices is so slight that the common man doesn't realize. I also feel that the prices of essentials are skyrocketing. If not potatoes and onions, take into account pulses and lentils. Do you think the poor can survive like this?"" he says."
16,16,Food inflation in negative territory,http://www.thehindu.com/todays-paper/tp-business/food-inflation-in-negative-territory/article2779098.ece,2012-01-06,The Hindu,"For the first time in nearly six years, food inflation entered negative territory, plunging to (-) 3.36 during the week ended December 24 from 0.42 per cent in the previous week, mainly owing to a sharp dip in prices of onions, potatoes and other seasonal vegetables.The slump into the negative zone for the first time as per the available WPI (wholesale price index) food inflation data with 2004-05 as the base year appears to have paved the way for a much-awaited cut in key rates by the Reserve Bank of India during its next monetary policy review slated for January 24.High base effectThis is despite the fact that the sharp decline is partly owing to the effect of a high base as food inflation during the like week in 2010 was at a high of 21 per cent. Nevertheless, enthused by the respite from high food prices, Finance Minister Pranab Mukherjee said: There has been substantial improvement. Food inflation has turned negative for the first time in the recent memory.''The figures speak for themselves.As per the official data released here on Thursday, onion prices slumped by 73.74 per cent during the week while potatoes also turned cheaper by 34.01 per cent on a year-on-year basis.Prices of vegetables, on the whole, fell by 50.22 per cent, as did wheat by 3.41 per cent.Compared to prices of edibles during the first week of November when food inflation stood pegged at double digits, the slide in prices has been substantial.Policy stanceCommenting on the WPI data, Prime Minister's Economic Advisory Council (PMEAC) Chairman C. Rangarajan said: The environment appears to be in favour of the RBI reversing its monetary policy stance.Dr. Rangarajan viewed that the decline in food inflation would also help bring down headline inflation  which factors in manufactured items, fuels and non-food primary articles  to below 7 per cent by March this year.Evidently, having hiked interest rates 13 times since March last year, followed by a pause in December, the stage is set for the Reserve Bank of India to cut its key policy rates so as to induce overall consumer demand and spur industrial growth."
