,Unnamed: 0,articleTitle,articleUrl,publishedDate,sourceName,text
4,4,Veggie prices fall as field beans flood markets,http://www.deccanherald.com/content/452405/veggie-prices-fall-field-beans.html,2015-01-08,Deccan Herald,"Veggie prices fall as field beans flood marketsBengaluru, Jan 08, 2015, DHNS: 0:38 ISTBuyers have a field dayVegetable prices have headed downwards in the last couple of days, much to the relief of consumers.The icing on the cake, though, is the fact that the prices will remain affordable till at least the end of this month. The entry of field beans (avarekai) into the market and their sale in huge quantities has lessened the demand for other vegetables, thus reducing their prices, say traders.Prices of most vegetables, barring the peas, are presently between Rs 10 and Rs 30 a kg at wholesale markets, the traders said.Speaking to Deccan Herald, R V Gopi, president of the Vegetable and Fruit Wholesale Merchants Association, said, Among the vegetables, the prices of beans have decreased the most from Rs 35Rs 40 a kg last week to Rs 15-Rs 20 this week.Tomatoes and potatoes are being sold at wholesale vegetable markets at prices between Rs 10 and Rs 20 per kg. There is a reduction in the vegetable prices by 40 per cent.He said that at least till Makara Sankranti that falls on January 15 this year, the demand for field beans will be higher than that for other vegetables.Traders in Kalasipalyam said that the market had been receiving more than 200 tonnes of field beans every day since January first week. Sources in Hopcoms pointed out that compared to the corresponding month last year, the prices of field beans are much cheaper this time.The production of field beans is high, making them available at cheaper rates. However, farmers growing other vegetables are facing losses, an official from Hopcoms said.Meanwhile, the prices of basic kitchen ingredients such as ginger and garlic remain unchanged and are being sold at Rs 70 to Rs 100 per kg respectively.The prices of green chillies have come down from Rs 75 per kg to Rs 60. The prices of coriander leaves have reduced by 20 per cent, said Shankar Gowda, a wholesale vegetable trader from Girinagar."
6,6,Vegetable Prices Dip in Indore as Supply Improves,https://www.hindustantimes.com/indore/vegetable-prices-dip-in-indore-as-supply-improves/story-W2tTwGuAWs0lK2lGjwmPZO.html,2015-01-11,Hindustan Times,"Consumers have something to cheer about as vegetable prices have come off their peak levels witnessed earlier this week. Traders attribute it to increase in supply and farmers say that the output has gone up because of favorable weather conditions.Earlier this week, prices of tomato and certain green vegetables had shot up because of unseasonal rains. Prices of vegetables including spinach, fenugreek, cucumber, tomato and many other seasonal vegetables have now come down by about 20%. While tomato prices have come down from Rs 30 per kg to Rs 20 per kg, onion and potato prices have also come down marginally in the past two to three days.""The supply has increased and prices have come down even though demand continues to be high due to marriage season,"" wholesale trader Vinod Kumar told Hindustan Times.""Harvesting of vegetables like spinach and fenugreek (methi) is in full swing and so there has been a steep fall in the prices of green leafy vegetables. This will put pressure on prices of other vegetables,"" Kumar said.Agriculture experts have now stressed upon increase in government expenditure on improving the infrastructure to raise the farm output and also take steps to enhance the storage and handling capacity. The key reform, say experts, is changing the dynamics of handling (transportation) and storage and also parameters of vegetable production to increase production capacity.""Shrinkage in area under vegetable cultivation has also become a matter of concern as villages near the urban areas are giving way to townships,"" said agriculture expert Samar Singh.The onus, say experts, is on the government to make agriculture more profitable for farmers to stop selling the fertile land."
17,17,Potato Growers Stare at More Losses as Export Ban Continues,http://www.hindustantimes.com/punjab/potato-growers-stare-at-more-losses-as-export-ban-continues/story-sF1MvcLezDHEX1utoVuDmO.html,2015-01-29,Hindustan Times,"Giving another jolt to the potato growers in the harvesting season, prices of the vegetable plummeted to a mere Rs 400 per quintal from Rs 600 within 15 days.At the time of sowing, potato prices had increased to Rs 1,500 to Rs 1,600 per quintal resulting in farmers increasing crop acreage, but to their sheer disappointment, the prices took a downward turn as soon as the harvesting season came around the corner.As per the information, the drop in prices has been caused to the ban on export of the vegetable in order to control inflation.Earlier, government's export bans had not included Pakistan but the recent decision has included our neighbor as well, increasing the pressure on the prices. Pakistan is the largest market for Indian potatoes during the first half of this fiscal (April-October).The farmers who were already facing losses to the tune of Rs 20,000 per acre due to a fall in prices from Rs 1,600 to Rs 600 per quintal, would now have to bear losses of Rs 30,000 per acre.The situation is exacerbated by the fact that farmers were forced to buy potato seeds at high rates as at that time the price of potato was at a peak.Kuldeep Singh, a farmer said that he had paid Rs 1,700 for a 50-kg bag of potato seeds during the sowing season. He said that including expenses such as seeds, irrigation, labour, pesticides and fuel, a farmer would have spent nothing less than Rs 80,000 per acre this season.""The prices have now dropped to just Rs 400 per quintal. If a farmer has harvested 100 quintals of potato from one acre, he will get only Rs 45,000 in the market and will face a minimum loss of Rs 30,000 per acre,"" said Dhot, who has cultivated potatoes on 400 acres.Resham Singh Chandi, vice-president, potato grower association Kapurthala, blamed the government for this situation and said that if the government had not put a ban on the export of potatoes the farmers would have got good prices of their hard-work.""If the apathetic government still fails to give attention to the issue, the price of the crop may drop further in coming days and the farmers would not be able to bear the losses then,"" he said.Meanwhile, supervisor of vegetable market, Sukhdev Singh said that the fall in prices was due to the increased harvest. ""It is obvious that the rates will be go down when the production of the crop increases and demand decreases,"" he said.Despite repeated attempts, Dr Manohar Singh, chief agriculture officer, Kapurthala, could not be reached for comments."
23,23,"Vegetable prices fall, tomatoes now 12/kg",http://timesofindia.indiatimes.com//city/chennai/Vegetable-prices-fall-tomatoes-now-12/kg/articleshow/46150519.cms,2015-02-07,The Times Of India,"CHENNAI/MADURAI: Vegetable prices, particularly tomatoes, have fallen sharply all over the state, giving households a big relief.In Chennai, since Wednesday, the wholesale rate of tomatoes has been hovering at 12 per kg, down from 15 before, and Bangalore tomatoes are selling at 15/ kg, down from 20.The wholesale price of tomato which had stood at 30 last month plummeted to an all-time low of 4 on Friday in the Central market in Madurai. Vendors put it down to over production due to timely rains. L Duraipandi, who has a shop in the Central market, said that a box of 15 kg had been rated at about 150 last month, but today it went down to 80.However, retailers in other parts of Madurai maintained the price at around 10. In Coimbatore tomatoes sold at 13 a kg and Bangalore tomatoes at 15 a kg.Prices of other vegetables are also down drastically compared to last month. In Chennai, retail price of beans fell from 50 a kg down to 15 and some qualities at even 10. ""In five years we haven't seen a price like this for beans,"" said V R Soundararajan, advisor for Koyambedu Vegetable Market Association. ""Prices of vegetables from the hills and Ooty have reduced since Pongal. Cauliflower is selling at around 15 and looks fresh too. A month ago peas was 150/kg and cauliflower was 30.""Brinjal now costs between 15 and 20, down from 30 per kg. Carrots have reduced by 20 and potatoes by 10. Ginger price has fallen from 60 per kg to 35. Meanwhile, in the Oddachathiram and Palani markets in Dindigul district, where many cultivate tomatoes, the vegetable's price was hovering at 3 per kg.Meanwhile, the price of pumpkin has also gone down drastically. Farmers had left the pumpkins on the creepers, expecting to get better prices during Pongal season, but the demand had not been much and now they are selling at throwaway prices of 4 per kg. White pumpkin is doing slightly better at about 7 per kg, but last month it had stood at 15 per kg.Raddish, cabbage and beetroot are available at 10. Butterbeans, which is usually at around 60, on Friday sold for 40 and broadbeans sold at 20."
29,29,"Potato stock bar lifts, price woe stays",https://www.telegraphindia.com/1150221/jsp/bengal/story_4711.jsp,2015-02-21,Telegraph,"Price problem Calcutta, Feb. 20: The Mamata Banerjee government has decided to withdraw an order issued last year imposing a ban on stocking more than 2,000 tonnes of potato by an individual after farmers started lodging complaints that they were not getting a good price for their produce this year. The move, senior government officials said, showed that the state government's intervention in the market for the past two years to keep the price of the tuber under control had caused trouble to consumers and farmers. According to Nabanna officials, farmers who have already harvested the new potato are being forced to sell their produce at Rs 4 a kg these days, lower than last year, when it sold for Rs 7 to Rs 8 a kg. The control order was issued last year, when the price of potato had shot up to Rs 22 a kg, to ensure that nobody could hoard to create an artificial crisis. ""But the order has now become a barrier for farmers. The order was withdrawn a few days ago,"" said a senior Nabanna official. Agriculture department officials explained that traders were not showing interest in procuring potato from farmers as they thought they could face trouble if they stocked more than 2,000 tonnes. The lack of buyers forced the farmers to sell their produce at a much lower price. The Bengal government had fixed a maximum retail price for the tuber for the past two years - Rs 14 and Rs 16 a kg, respectively. The state had also fixed a maximum storage limit for an individual and issued a blanket ban on export. ""The intervention caused a severe damage to the entire system,"" said a city-based industrialist, who is associated with agro-business and potato products. He said the government tried to play with the demand and supply rule that determines the price of a commodity. ""The price of potato remained at Rs 24 a kg for the major part of last year as the traders created an artificial crisis in the market by holding back their stock in the cold stores."" A section of traders said despite the withdrawal of the control order, they are apprehensive of buying a large stock from the farmers. ""For the past two years, the government had issued a blanket ban on export and we incurred losses... We are not sure whether there will be a ban this year too,"" said a potato trader. Senior government officials said that in order to give some relief to the farmers, the state government could have procured some potato at a better price. ""This could have helped the farmers and the consumers too as the govern-ment could have released the stock in the market whenever price of the produce goes up in the market,"" said an official. But the finance department has rejected a proposal on this. ""The agriculture marketing department had sought a sum of Rs 100 crore to initiate the scheme... But the finance department rejected it,"" said a senior government official adding that such a scheme would have been helpful, instead of imposing a ban on export."
42,42,Falling prices push potato farmers to suicide,http://www.deccanherald.com/content/464725/falling-prices-push-potato-farmers.html,2015-03-10,Deccan Herald,"Falling prices push potato farmers to suicideKolkata, Mar 10, 2015, DHNS: 1:25 ISTA bountiful harvest of potatoes in Bengal turned out to be a problem for farmers, who are rattled by falling demands and plummeting prices for their produce.Traders refuse to buy potatoes that are already flooding the market and would only buy them for throwaway prices, leaving farmers under deeper debts and the prospect of suicide.On Tuesday, 37-year-old Swapan Kundu from Khanakul village of Hooghly district committed suicide, panicked by the debts he piled paying high prices for seeds and fertilizers.His family and friends are stunned to realise that the higher yield of potato on his two-acre land has actually driven him to take his life.We are selling potatoes to traders and whole-sellers for Rs 2-3 per Kg. Most traders are not buying potatoes so were not getting good price, Kundus brother-in-law Arup said."
43,43,Deesa farmers face potato glut,http://timesofindia.indiatimes.com//city/rajkot/Deesa-farmers-face-potato-glut/articleshow/46522023.cms,2015-03-11,The Times Of India,"PALANPUR: Four years ago farmers from Deesa had dumped tonnes of potatoes on the roads of the Palanpur following a glut in the commodity and low prices. A similar situation has arisen this year following a bumper potato harvest.The wholesale price in Deesa crashed to an all-time low after 2011. Despite 50kg bag of potato being priced at Rs 250 (Rs 5/kg) buyers were hard to find. Earlier, a 50kg bag was sold at Rs 600-700. ""We are facing tough time thanks to the bumper crop. Unseasonal rain too has harmed the potato farmers. Even Uttar Pradesh and Punjab, two chief potato producing states, are facing similar problems,"" said a leading farmer Odhaji Thakore.Adding to farmers' woes are the cold storage owners who have hiked rent by Rs 12.50 per 50kg bag. Mounds of potatoes can be seen lying in open fields with no space in cold storage facilities.""We are prepared to off load the stock but there are no buyers,"" lamented Thakore, adding that the government was not paying attention to their woes. ""Our main demand is better prices, freight-free transportation and scrapping of hike in cold storage rates,"" Thakore added. District collector Banaskantha, Dilip Rana, said, ""We are doing our best to deal with the situation. With regards to reduction of cold storage rates I will talk to the owners.""Thakore said, ""If the government fails to provide freight subsidy to transport potatoes to other states in the next few days, we will have to do what we did in 2011 - dump the potatoes on roads."" R M Patel a researcher at Sardar Krushinagar Dantiwada University, said, ""Bumper crop is big problem,"" adding, ""As against last year's 45,000 hectare, this year sowing was done in 52,000 hectare. The rates have fallen sharply,"" he said.There are 118 cold storages in Banaskantha with total capacity of 1.85 crore bags of 50kg. However, output this year is 2.75 crore bags. Combined capacity of clod storages in the state was 3.50 crore bags while total potato production according to the state government estimate was likely to go up to six crore bags, said president of Deesa Cold Storage Owners' Association (CSOA) Ganpat Kachwah."
44,44,Tragedy bares potato worry,https://www.telegraphindia.com/1150311/jsp/bengal/story_8006.jsp,2015-03-11,Telegraph,"March 10: Two potato farmers allegedly committed suicide in Burdwan and Hooghly last night after failing to sell the bulk of their produce and secure a good price for the portion they could. While Guddu Murmu, who cultivated potato on a little over two acres in Burdwan's Bhatar, allegedly consumed pesticide, farmer Swapan Kundu hanged himself from a tree near his home in Hooghly's Khanakul. Murmu's family said he had taken a loan of Rs 50,000 and failed to sell even one-fourths of the 2,800kg of potato he produced. According to Kundu's wife, the Hooghly farmer had taken a loan of nearly Rs 1 lakh from a local cooperative. He was forced to sell 1,600kg of potato at Rs 3.20 a kg, much lower than the amount required to cultivate a kilo of the crop. Agriculture department officials said traders had been avoiding buying potato in bulk ever since a government ban on its export two years ago. Although the ban has been partially revoked, the traders are wary of the curb being imposed again. The situation has come to such a pass that farmers are being forced to sell potato at Rs 3 a kg in the majority of the areas. ""Farmers spend around Rs 4 to produce a kilo of potato.... Selling the produce at Rs 3 a kg would mean a lot of trouble for small and marginal farmers,"" an official said. Most small and marginal potato farmers in Bengal take loans from local moneylenders to buy seeds and fertilisers. This prevents them from storing the crop for long and waiting for the prices to rise because that would involve having to pay a higher interest for the loan. The Mamata Banerjee government has decided to buy 50,000 tonnes of potato directly from farmers and allow the export of 2 lakh tonnes. Agriculture department officials described the relief as ""too little"". Asked about the twin suicides, agriculture minister Purnendu Bose said: ""I won't be able to comment at this moment. I am yet to get a report on them."""
48,48,Bumper harvest spells doom for Bengal’s potato farmers,http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/bumper-harvest-spells-doom-for-bengals-potato-farmers/article6983899.ece,2015-03-12,The Hindu,"With no takers for their produce, farmers are left with no option but to take the potatoes back home in Bardhman district.Photo: Sushanta PatronobishPotato fields line both sides of the dusty, kutcha road leading to the house of Guddu Murmu, a sharecropper from West Bengals Bardhaman district who allegedly committed suicide early this week.Sacks of potatoes are stacked out in the open. The distress caused by the abundant yield this year is evident, as farmers who used to sell potatoes directly from the fields are now forced to take the produce home. The bumper crop, coupled with weak demand from other States, has led to a free-fall in prices in West Bengal.Murmu, who was in his late fifties, had taken a loan of Rs. 50,000 from local moneylenders to cultivate potato in about five bighas (around two acres) of land as a sharecropper. He was shattered when the prices crashed and he killed himself by consuming pesticide on Monday.Buddhadeb Ansh, a local farm trader and money lender from the adjoining Ramchandrapur village, arrived at Murmus house on Wednesday and said the farmer had borrowed Rs 5,000 from him also.Last year the farmers sold potatoes at Rs. 350 to Rs. 400 per sack of 50 kilograms. This year, the prices have dropped below Rs. 150. In many cases, there are no takers even at lower prices, said Ansh,Murmu had to support a family of ten that includes his wife, three sons, daughters-in-law and grand children. His wife Kalamani has locked herself inside the thatched house at Chatimdanga village and refuses to speak.All the potatoes are lying in the fields, said Ram Murmu, Guddu Murmus son. The store [cold storage] is not taking potatoes any more. We do not know how we will survive.A few hundred metres away from Murmus home, another farmer Mukul Singh is busy harvesting from his field. Now we will also have to commit suicide, he said. Last year, I produced 150 sacks of potatoes in the two bighas of land that I cultivated and sold them at more than Rs. 350 per sack. This year the produce is higher but the prices are much lower, he said.Government denialSenior government functionaries meanwhile claim that Murmus family owns several bighas of land in the village and that his sons are employed outside the State. However, according to the family members and neighbours, Murmu did not own any land and all his sons were farmers in the village.States Agriculture Minister Purnendu Bose denied that the suicide had anything to do with the potato crisis but admitted there was distress selling by farmers. He said the government was buying potatoes for the mid-day meal and the ICDS projects and was in the process of lifting restrictions on sale to other States.Potato production this year has increased from 90 lakh tonnes to 1.10 crore tonnes. The cold storages in the State can hold not more than 74 lakh tonnes.The government is in the process of lifting restrictions on sale to other States"
67,67,Another potato farmer commits suicide,http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/another-potato-farmer-commits-suicide/article7017231.ece,2015-03-21,The Hindu,"Potato farmers protesting in Kolkata on Friday following several recent suicides .Photo: Sushanta Patronobish: A potato farmer, who was in a financial crisis, allegedly committed suicide in Bardhaman district of West Bengal, taking the toll to three in a fortnight.Ratan Shanr (35) had consumed pesticide at his home at Sassanga village in Khandagosh area of the district on March 18. He died at Burdwan Medical College Hospital on Friday morning, police said.The victims brother Bansi said the farmer had mortgaged his wifes ornaments to arrange for a private loan of Rs 60,000. But as the prices of potato remained very low, he was depressed and took the drastic step.Khandagosh block development officer Santanu Das said he had received the news and was looking into the situation.In the past fortnight, two other potato farmers had committed suicide at Bhatar and Mangolkote in the district as prices of the tuber remained very low.Potato production in West Bengal was in excess of 110 lakh tonnes, up by around 15 per cent over the past year due to higher acreage and a conducive climate, the former president of West Bengal Cold Storage Association Ramapda Paul said.State Agriculture Minister Purnendu Bose had told PTI recently that the government is keeping an eye on the situation arising out of surplus potato output in West Bengal which has left farmers worried.The price of potato would not have crashed to Rs 150 a bag against the production cost of Rs 450, had demand from other States remained buoyant, he said.The government has created a Rs 10 crore corpus for transport subsidy for exporting tuber by both ships and railway rakes besides, procuring it from farmers at Rs 5 a kg for direct retailing in 20-odd state-owned Safal stores in and around the city at Rs 7 per kg. PTI"
