,Unnamed: 0,articleTitle,articleUrl,publishedDate,sourceName,text
7,7,Harvest festival keep traders busy,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/harvest-festival-keep-traders-busy/article8105329.ece,2016-01-14,The Hindu,"Brisk sales:Sugarcane sales has begun to pick up in Vellore markets. (Right) Roadsides in Long Bazaar have turned colourful with sale of rangoli powder.  Photos: C. VenkatachalapathyThe festival of harvest is here, and the markets are turning busy in Vellore. With sugarcane being integral to Pongal festivities, loads of cane has started to arrive to Long Bazaar from various parts of the State.Long Bazaar, which has always been a one-stop for all festival needs, is now buzzing with crowd shopping for the harvest festival.Cost of caneSale of sugarcane has started to pick up in Vellore. A bundle of sugarcane consisting of 18 to 20 canes cost Rs. 400 to 550 now. The cost depends on the canes height and thickness. Last year, a bundle was sold for Rs. 300 to Rs. 500, Aslam, a shopkeeper said.Vellore gets most of its sugarcane supply from Salem, Chidambaram and Kumbakonam, he said, adding, The yield was good this year but the rains in November damaged crops severely. Now, it seems that the government is procuring the damaged canes, and hence, farmers have been able to breathe easy. Vendors sell single sugarcane for Rs. 50 to Rs. 70.There cannot be sweet Pongal without jaggery. With jaggery being another key ingredient for the festival, the districts own-made jaggery is up for sale in Vellam Mandi. A kilo of jaggery costs Rs. 30 to Rs. 40 depending on colour. Jaggery produced from various parts of the district is supplied to other parts of the State including Chennai and Kancheepuram, said Rajendran, shop keeper at the mandi.However, he said that the sales were dull now when compared to last year. The production itself is less this year, he added.Vegetables cost reasonableThe cost of vegetables is nothing worrying, say vendors. Prices have been stable for sometime now. The rates of most of the vegetables are normal. On some days, there is variation in cost due to dip in supply. But consumers have nothing to worry while purchasing vegetables for Pongal festival, said A. Balu, president of Vellore Town Nethaji Market Kaikari Vyabarigal Sangam.People buy pumpkin, yam, mochaikai, sweet potato and potato for Pongal, he said. A kilo of pumpkin cost Rs. 15, yam is Rs. 25-Rs. 30, mochaikkai is Rs. 30, sweet potato is Rs. 25-Rs. 30 and potato is Rs. 20. From last weeks rate of Rs, 60, the price of tomato (a kilo) is now Rs. 40.The roadsides of Long Bazaar have turned colourful with packets of rangoli powder being decked up at stalls.A packet of 100 grams of the colour powder costs Rs. 10. The sales will pick up today, a vendor said.Vendors in the flower market said the prices continue to be affordable for the festival season.Ropes and bellsApart from this, colourful ropes and bells to decorate cows are also up for sale in Long Bazaar."
42,42,Your favourite vegetables are cheaper this season,http://www.deccanherald.com/content/535031/your-favourite-vegetables-cheaper-season.html,2016-03-16,Deccan Herald,"Your favourite vegetables are cheaper this seasonBengaluru, Mar 16, 2016, DHNS: 2:03 ISTTomato priced at just Rs 6-8 per kilo, capsicum Rs 15, potato Rs 20Last year, as the summer peaked, the prices of vegetables too soared. But surprisingly this time, veggie prices have fallen owing to increased production and arrivals in the markets.A kilogram of tomato is now priced at Rs 6 to Rs 8 in wholesale markets, while carrots, beans and brinjals cost about Rs 20-25. Capsicum and potatoes are priced at Rs 15 and Rs 20, respectively. Exactly a year ago, their prices during the same period had spiked, with tomato priced at Rs 20 and beans Rs 40 per kilo.Wholesale Vegetables and Fruits Traders Association president R V Gopi said carrots were priced at Rs 40 in March last year and the cost of other veggies too had increased by 10-20 per cent.This time, however, the prices have fallen, especially in the past week. Last week, one kilogram of tomato was priced at Rs 15, but now it is available at Rs 8 and even Rs 5 in the market.He said the main reason for the low prices was the increase in the arrival of vegetables.Last year, there was a decrease in the crop arrivals and hence the prices had gone up. For consumers, it is a good news this time, but for farmers it is a loss.G M Diwakar from SKR Market Traders Association said it was just the beginning of summer season and there were chances of veggie prices doubling in the next four months.Generally, the prices increase between April and July. Last year, there was no rainfall and hence the prices had increased. It takes three months for crop yield and this time, there has been sufficient rainfall. But when the actual summer sets in, then the prices may increase."
46,46,Potato growers forced to make distress sale,http://timesofindia.indiatimes.com//city/bhubaneswar/Potato-growers-forced-to-make-distress-sale/articleshow/51502869.cms,2016-03-22,The Times Of India,"BHUBANESWAR: Rising potato prices due to lower production this year has been a raging political issue. However, farmers were misled by the government to cultivate the tuber last year and forced to make distress sale of their produce, the latest CAG report said.The report on economic sector for the year ending March 2015 said the directorate of horticulture facilitated cultivation of potato in various districts in 2015. The government on February 13 last year decided to purchase the produce through Markfed (in seven districts) and Nafed (23 districts).While Markfed was to lift 8,500 MT, Nafed was assigned to procure 20,500 MT. Markfed opened procurement centres in six districts but closed them without purchase on the pretext that it did not find potato of specified size, the CAG said.The CAG report said the government then lowered the procurement target of Markfed to 5,500 MT in three districts (Bargarh, Balasore and Jharsuguda). However, due to delay in procurement and lack of cold storage facilities, panicked farmers were forced to sell potato outside the market yard."
208,208,"Onion, potato growers shed tears as prices plunge",http://timesofindia.indiatimes.com//city/bengaluru/Onion-potato-growers-shed-tears-as-prices-plunge/articleshow/54619375.cms,2016-10-01,The Times Of India,"BELAGAVI: Onion farmers are staring at a bleak future with prices plunging further and the possibility of it rising very slim.Belagavi onion farmers staged a protest last week at the APMC yard after traders dropped the price for one quintal of onions to Rs 300-600.With as many as 150 onion-laden lorries arriving at the APMC each week, traders were forced to effect a reduction in the price for lack of buyers. A quintal of onions, which fetched farmers between Rs 1,200 and Rs 1,500 last month, was being sold at Rs 500-800 this week.It is not just onion cultivators who are suffering. Potato farmers, too, are finding the going difficult with prices falling. With about 25 to 30 potato lorries arriving at the APMC yard every day, prices have fallen from Rs 2,200 per quintal last month to Rs 1,400-1,500 this week.Subhash Marihalkar, a potato cultivator from Kadoli, has urged traders to stop the supply of potatoes from North India.However, Manohar Mungari, a trader, says that potatoes are being sold at a good price. ""Once the stock arrives from Delhi, the prices of potatoes will fall further. It is a misconception that traders are bringing the price down. We earn money only when farmers get a good price as our business depends on commission,"" he added."
230,230,No veggie shock this Deepavali,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/No-veggie-shock-this-Deepavali/article15835684.ece,2016-10-28,The Hindu,"The festival of lights is here and the streets are teaming with shoppers. Even asd they struggle to balance their budgets, consumers see a silver lining as the traders have ruled out a steep hike in vegetable prices.Traders said that the prices of vegetables have stayed normal since last week. It may continue for the next few days too. There will be no increase in the prices in view of Deepavali, said A. Balu, president of Vellore Town Nethaji Market Kaikari Vyabarigal Sangam.One kg of tomatoes are priced from Rs. 8 to Rs. 10 while fresh onions from Andhra Pradesh cost Rs. 5 to Rs. 10, old ones from Maharashtra are priced at Rs. 12 to Rs. 18. Potatoes cost Rs. 15 to Rs. 20 a kg while small onions are priced at Rs. 30. A day after Deepavali, people buy vegetables such as ladies finger, brinjal, drumstick, mangoes, ginger, and garlic, he said. While one kg of ladies finger cost Rs. 15, brinjal (thorny variety) costs Rs. 25 to Rs. 30 and drumstick is priced at Rs. 30. Ginger cost Rs. 40 to Rs. 60 while garlic is priced from Rs. 100 to Rs. 180. Mangoes, which come from Bengaluru, cost Rs. 30 a piece, he added. The cost of other vegetables is: carrot Rs. 25, beans Rs. 25 to Rs. 30, cauliflower Rs. 10 to Rs. 20 depending on size, cabbage Rs. 10, green chillies Rs. 15 to Rs. 20, yam Rs. 25 to Rs. 30, broad beans (avarakkai) Rs. 30, bitter gourd Rs. 20 and coriander (bunch) Rs. 10 to Rs. 15."
249,249,Vegetable prices dip by 40% to 50% across region,http://timesofindia.indiatimes.com//city/aurangabad/Vegetable-prices-dip-by-40-to-50-across-region/articleshow/55363132.cms,2016-11-11,The Times Of India,"AURANGABAD: The ever-bustling Agricultural Produce Market Committee (APMC) yards and markets across the Marathwada region witnessed a sharp drop in business on Thursday.Sale and purchase of goods were pushed to the backseat after farmers, middlemen and retailers could not close deals because of severe shortage of valid currency notes. A drop in trading activities was also reported from Osmanabad, Beed, Jalna and other districts.""Everyone in the market was trying to push Rs 500 and Rs 1,000 notes. On the other hand, there were no takers for those notes,"" Isa Khan, a wholesale dealer from the city-based Jadhavwadi market said.Adding to the woes, prices of all agriculture produce particularly vegetables fell significantly after the Centre scrapped Rs 500 and Rs 1,000 currency notes. Onions, potatoes and other vegetables prices have been witnessing a sharp dip in prices after the Centre scrapped the high-value currency notes. Green vegetable prices, including that of coriander, spinach, 'methi' among others, slipped by almost 50% over the last two days dampening farmers' expectations. Prices of cauliflower, cabbage, ladies finger, capsicum and green chilies also fell by around 40% to 50%.Ratan Wakde, a farmer from Danora village from the district's Gangapur taluka, sold ginger in the Jadhavwadi market on Thursday at a wholesale rate of Rs 1,400 a quintal, which is Rs 800 less than Sunday's price. ""On Sunday, ginger was priced at Rs 2,200 a quintal, but I do not understand the sudden drop,"" Wakde said.The APMC's yard in Parbhani wore a deserted look on Thursday, where many grain merchants suggested that farmers should not bring soyabean and other agriculture products for the next three to four days. ""I have a huge stock of the soyabean, but the current market conditions are not favourable to sell the crop. A few days ago, soyabean was sold at Rs 2,700 to Rs 2,800 a quintal. But, today some buyers were offering Rs 2,300 a quintal. I don't wish to sell the crop at such low rates and so I stayed away from the market,"" Sopan Garud, a farmer from Parbhani, said."
251,251,Silver lining: Perishable prices dip,http://timesofindia.indiatimes.com//city/kolkata/Silver-lining-Perishable-prices-dip/articleshow/55393734.cms,2016-11-13,The Times Of India,"Kolkata: The severe liquidity crunch in households has triggered a downward slide in prices of perishable commodities as traders attempt to clear accumulated stocks before they rot and also garner some funds to remain in business.While vegetable prices have gone down by 20-30% in several markets across the city, potato, onion and tomato prices have all gone down in the past couple of days. Price of fish is also down by Rs 50-70 a kg. But it has not elicited a smile yet from customers struggling with cash. At Lansdowne market, Jadu Babur Bazar and Lake Market in south Kolkata, onion price has nosedived from Rs 25 a kg prior to Prime Minister Narendra Modi 's demonetization announcement on Tuesday to Rs 18 a kg on Saturday. A similar situation was witnessed at Maniktala market in the northern part of the city.""People are just not buying unless absolutely necessary. One generally says that Bengalis will never compromise on food but I suspect less fish and meat dishes are being made now. So the demand for onion has dropped. Though supply in wholesale market has dipped because of the liquidity crunch across the country, there is still a glut due to lack of demand,"" said Asit Das, a vegetable vendor at Lansdowne Market.With dues piling up and pressure to clear the stock mounting, vendors are reducing prices. Everyone associated with onion, right from the farm in Nasik to here, is desperate to kick-start sales. ""At any other time, a drop in supply would have led to price rise. But it's just the opposite,"" said Mahadeb Mondal of Lake Market. ""While commodity prices dip normally when there is a liquidity crunch, the trend has so far been missing in Kolkata. But this time we see that happening,"" said Shankar Gupta, a vegetable trader in Kolkata.Price of tomato that comes from farms near Bengaluru is also headed southward, having dropped by Rs 2 in two days and is now retailing at Rs 18 a kg. ""The suppliers are not accepting payment in the demonetized currency notes and have agreed to take the payment later. They have slashed the price so that we accept the stock in this adverse situation,"" said Das.Price of Jyoti variety of potato that commanded Rs 20 per kg till Thursday was selling for Rs 18 on Saturday.Lower consumption has also brought down fish prices at city markets by at least Rs 50 per kg across varieties."
271,271,"10 days into note ban, fish and veggie prices still heading south",http://timesofindia.indiatimes.com//city/kolkata/10-days-into-note-ban-fish-and-veggie-prices-still-heading-south/articleshow/55502927.cms,2016-11-19,The Times Of India,"KOLKATA: Muted response from buyers , persisting cash crunch and a good local harvest has pulled down prices of vegetables and protein in Kolkata. While there were certain variations across city markets, the overall price curve continued to slide downwards 10 days after the demonetisation move.Markets across the city witnessed low sales even on Thursday. ""I have barely sold 15kg potato since morning. Normally we sell around 120kg each day. The slump has pushed us into a severe cash crunch,"" said Gopal Kundu, a vegetable vendor at Lake Market Potato prices have witnessed the sharpest dip in the past three days after wholesale prices came down to Rs 11 per kg for the Jyoti variety on Wednesday. ""Based on the grading of the Jyoti variety, prices varied between Rs 11 and Rs 12 at the wholesale markets,"" said Patit Paban Dey, former president of West Bengal Cold Storage Association. ""It seems that farmers needed cash to stay afloat and decided to release potato at a lower price,"" he added.""We are yet to receive the Nasik variety of onion. But the prices have come down further. This normally happens when the market is flush with new produce,"" said Shakti Prasad Ghara, a vegetable vendor at the New Market. Prices of seasonal vegetables are also showing a downward trend with supplies increasing at the city markets. ""New produce have started coming in and prices of seasonal vegetables like beans, cabbage, capsicum and carrot have come down substantially,"" said Rajat Laskar, a vegetable vendor at Gariahat Market.Egg prices have witnessed a sharp drop in the past few days, and the fish market is suffering because vendors aren't accepting the Rs 2,000 notes.On the other hand, transporters are worried about the liquidity crunch after the toll tax is re-imposed from November 24."
273,273,Daily trade in markets plunges by over 50%,http://timesofindia.indiatimes.com//city/pune/Daily-trade-in-markets-plunges-by-over-50/articleshow/55520440.cms,2016-11-20,The Times Of India,"PUNE: Demonetisation continues to have an adverse impact on major local markets across Pune district, as daily trade in fruits, vegetables and food grains has plunged by almost 50%.According to market sources, inflow of goods has steadily gone down over the last 10 days as there has been a considerable drop in transactions after the scrapping of high-value currency notes by the government.In Indapur, the auction of pomegranates had remained suspended for the entire week, and resumed only on Saturday, albeit on a gloomy note - transactions dropped by 70%. Only 5,000 crates of pomegranates were supplied by farmers, instead of the regular average of 15,000 crates. In Neera market, the auction of jaggery dropped by almost 50%, with the unloading of about 1,000 boxes as against the daily standard of 2,000 boxes. Meanwhile in Junnar , trade in fresh vegetables, onion, tomatoes and potatoes was down by 40%.Traders and farmers at these local markets have traditionally preferred transactions in cash, and were caught off-guard by the sudden announcement. The cancellation of Rs 500 and Rs 1,000 notes has affected the payments, while purchases have also suffered. Even prices have dropped because of the low demand for farm produce.Officials in the agriculture produce market committee fear that more time would be required before things return to normal.An official attached to the market committee in Indapur said, ""Pomegranates have a huge market here, and a daylong auction registers transactions amounting to over Rs 50 lakh. This is peak season for pomegranate sales. We were expecting a rise in trade. However, for the last week, it has dropped drastically. Cash crunch forced traders and farmers to suspend auction because of the ban on cash transactions using demonetised notes. The auction finally resumed on Saturday to recover losses.""Local sources said that pomegranates had piled up in the orchards and if not sold soon, will rot, causing losses. So farmers and traders were left with no choice but to go ahead with trade.Soybean is ready for harvest in most parts of Baramati , and growers are likely to face losses if auction is not held.Even auctions of foodgrains like wheat, jowar, bajra, maize and soybean were completely halted for a week. The agriculture produce market committee said that supply of foodgrain dropped by almost 50% in last 10 days, and even traders were not unwilling to auction off their produce at lower prices. The committee was hopeful that action would resume on Monday. Local sources in Junnar-Ambegaon-Khed , which is predominantly known for cultivation of vegetables, said despite a good yield, business has taken a hit.Meanwhile, the government's latest move of increasing withdrawal limits for farmers, to Rs25,000, was met with scepticism. ""Cash is not available at most banks. Farmers cannot spend the entire day standing in queues in banks. Also, there are limited branches of nationalized banks in rural parts so farmers are badly hit,"" said Ashok Banker , a resident of Ambegaon area."
276,276,Vegetable prices come crashing in city,http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Vegetable-prices-come-crashing-in-city/article16662754.ece,2016-11-21,The Hindu,"A kilo of tomato is fetching as little Rs. 2 for farmers, while it is being sold at Rs. 4 to Rs. 8 in the retail market in Bengaluru. Compare this with prices just a month ago, when tomato was retailing at Rs. 30 a kg. While a good yield over the last one month has normalised supply, tomato growers have now been affected by the post- demonetisation cash crunch.Farmers low on cash are at a loss to fund the transportation of tomato and other vegetables to States such as Andhra Pradesh and Tamil Nadu, and in case of tomato, even to Kolkata.Supply of tomatoes to Tamil Nadu was affected during the Cauvery crisis. Now there is cash crunch, and transportation has been hit, said N.N. Sriram, a tomato grower from Nukkanahalli in Kolar disitrct, and added that farmers were suffering huge losses.Vegetable prices have also been crashing: a kg of beans is now selling at Rs. 14, onion at Rs. 16 and potato at Rs. 26. The prices took a hit over the last two weeks. This is despite the fact that November and December usually see vegetables retailing at higher prices in Bengaluru.The prices have come down by over 30 per cent in the last week alone, said a senior official heading the vegetable procurement section in a leading retail chain.Keshav S.H., manager, Marketing, Hopcoms, said that another reason for the falling prices has been falling retail sales, indicating lower consumption of vegetables, creating a high supply and low demand cycle.However, procurement officials fear that the supply-demand cycle may soon be reversed if the cash crunch continues for a longer period, affecting crop patterns.Now, vegetable growers are resorting to distress sale. But they are not being paid for their produce immediately, further worsening the cash crunch. If this affects sowing this season, then we will soon stare at low supplies and skyrocketing prices, the official said.Farmers low on cash are at a loss to fund the transportation of tomato and other vegetables to markets"
