,articleTitle,articleUrl,publishedDate,sourceName,text
0,"Rahul takes BJP-Akalis head on over Lokpal,FDI",http://indianexpress.com/article/cities/chandigarh/rahul-takes-bjpakalis-head-on-over-lokpal-fdi/,2012-01-01,Indian Express,"On the penultimate day of campaigning in poll-bound Punjab,Congress General Secretary and Lok Sabha MP Rahul Gandhi on Friday launched a direct attack on the BJP and the SAD,accusing both of blocking the Lokpal Bill and the Foreign Direct Investment in retail for political considerations.Gandhi also took on BJP leader L K Advani,saying that while he embarked on a yatra against corruption across the country,he did not see any corruption in states like Karnataka,Jharkhand,Chhattisgarh and Punjab  all BJP-ruled states. And when we brought the Bill for a strong Lokpal in the Parliament,their people opposed it. We said that there should be a Constitutional Lokpal which should function the same way as the Election Commission does  without succumbing to any pressure, he said.Aur Manmohan Singh ji,Congress president Sonia Gandhi ji aur Congress party ne Parliament me Bill rakha BJP ke logon ne,Akali Dal ke logon ne laal button daba kar us Bill ko wahan roka. (When Prime Minister Manmohan Singh,Congress president Sonia Gandhi and the Congress introduced the Bill in the Parliament,members of the BJP and Akali Dal stopped it by pressing the red button),said Rahul. Aur jab Bill ruk raha tha to muskurahatein thee inke chehron pekhush they yeh log (And when the Bill was getting stalled,these people had smiles on their faces,they were happy), he added.When the media asked them about what they had done and why,they said that the Bill was not their dream but only that of the Prime Minister,Congress president,Congress Party and Rahul Gandhi. Magar yeh sirf hamara sapna nahin thayeh aam yuvaon ka sapna haiPunjab ke yuvaon ka sapna hai ki bhrastachar kam ho..aur hum isko poor kar ke dikhayenge, said Rahul.Claiming that it was only the Congress which was fighting corruption,Rahul said: Jahan bhi hamare log isme shamil hote hain,hum unko jail main daal dete hainhamare mantra jail mein baithey huye hain. Hum ladte hain,yeh sirf bhashan karte hain,yatrayen karte hain.Narrating how a farmer in Uttar Pradesh asked him to why he got Rs 2 for a kg of potatoes while a potato chips packet that uses only half a potato was selling for Rs 10,Rahul said that only reason for such a situation was that the farmer was not getting the profits of his labour. Humney FDI ki baat ki-ki jo unit lagein kisan ke paas,kheton ke paas lageinuska fayda aap tak pahuncheapko sahi rate miley. Aur ekdum FDI ke khilaaf uthkar Akali Dal aur BJP ke log khade ho gaye, he said,adding that these parties,particularly the BJP,were not actually opposed to FDI but were only opposing it because the government wanted to push for these reforms. He also said that many MPs from these parties acknowledge in the Parliament that FDI will benefit people.Explaining how elections within the Youth Congress in Punjab had empowered the party,Rahul asked the people to support the young candidates who have got an opportunity in politics now. Yahan yuva pratyashi haiNaye ladke ko laiye aur yeh apke liye ladega, Gandhi said referring to Amarinder Singh Raja Warring,a 33-year old Youth Congress worker who has been handpicked by Rahul to contest against PPP chief Manpreet Singh Badal.The Congress general secretary also said that he had met all these youngsters in New Delhi and had asked them to go and fight for the people and their problems after having got the party ticket. He added that they had been told in clear terms that if he got to know about even an iota of corruption against any of them,their political careers will be over.For all the latest India News, download Indian Express App now"
1,Groping in the dark as usual,https://www.hindustantimes.com/india/groping-in-the-dark-as-usual/story-GsaMvFQskMczAUwrOVOZeK.html,2012-01-02,Hindustan Times,"India traditionally has low energy demand in winter, but this year blackouts have accompanied the dropping mercury. This follows an autumn in which almost every state carried out rolling power cuts. This is not a temporary affair: one of the worst policy failures of both central and state governments the past few years has been in the power sector. The Dark Ages threaten India once more.Good news is hard to find in the Indian energy story. Power stations live hand to mouth when it comes to coal stocks. Indias vaunted offshore gas production is plummeting. Oil subsidies cripple domestic petrochemical investment. Indias dependence on imported fuel is skyrocketing because of the domestic sectors paralysis. There is a sense of dj vu. Just as they did a decade back, State power utilities are swimming in red ink again. Their aggregate losses were Rs 138 billion in 2006-07. Last fiscal year, they reached Rs 445 billion.The power sector is creaking in every rivet. The ultra-mega power projects are an example of the rot that has spread through the system. These showcase power projects lie largely stillborn thanks to fixed power prices that guarantee losses, interest rates that none had dreamt of a half-decade back and a dearth of stable fuel sources. A core problem is the issue of pricing. Both industry and government seem to have made absurdly rosy assumptions about the future of fuel prices, especially regarding that of coal.Natural gas pricing has become a Gordian knot of a wrangle that none can cut. Oil prices are set by a global market that is outside New Delhis control, but thanks to a perverse subsidy and tax regime they have become a political hot potato for both Centre and the states. The coal crisis is a unique product of several years of poorly conceived and poorly coordinated policies in both pricing and sourcing. Plentiful coal has become artificially scarce by whim-sical environmental policies and exacerbated by a continuing failure to break the monopoly of Coal India, a firm the government admits wastes 25% of what it mines.With domestic coal achieving the status of reserve gold and investment fleeing natural gas, Indian industry turned overseas for both. The price of such assets has jumped and foreign countries are limiting such buys. High interest rates, a falling rupee and the countrys current account deficit are placing such overseas purchases beyond Indias reach. India is now more dependent on oil and gas imports than it has ever been before  and is now also a major coal importer as well. Power is a slow-burn crisis in which long-term plans go slowly awry and build up to a major breakdown in the future. India needs to return to the path of pricing and regulatory reform from which it strayed before its energy production goes off a cliff as it did two decades ago."
2,Farmer commits suicide,http://indianexpress.com/article/cities/kolkata/farmer-commits-suicide/,2012-01-02,Indian Express,"A farmer allegedly committed suicide here by consuming poison due to crop loss and mounting debts. Amiya Saha (45) was found dead in his field on Saturday night after he had consumed pesticide,sources said. He was rushed to Burdwan hospital,where he succumbed. Sahas family said that he had taken loans at high rate of interest for potato cultivation and was also unable to sell his paddy harvest. He was depressed for the last few days as he failed to sell his paddy harvest,and also his potato crop on eight bigha land suffered damage, Sahas wife Jharna said. The police and civil administration said Sahas family is claiming that he committed suicide due to crop loss and mounting debts,and are investigating the matter.Picnickers scuffle with policeHowrah: A group of picnickers had a scuffle with cops at Naopala in Howrah district on Sunday. Police said the personnel,deployed at the picnic spot on the bank of Rupnarayan under Bagnan police station,intervened when some girls of another group alleged of being teased by some allegedly drunk youths. As the youths turned on the policemen,a scuffle broke out.For all the latest India News, download Indian Express App now"
3,Youth Cong bats for FDI in retail ,https://www.telegraphindia.com/1120102/jsp/nation/story_14951852.jsp,2012-01-02,Telegraph,"New Delhi, Jan. 1: The Youth Congress has a question: why can some company not buy the potatoes that Punjabs farmers are throwing on the streets and sell them in Kerala where the crops price is as high as Rs 18 a kg? The answer, for the outfit being groomed under the guidance of Rahul Gandhi, is foreign direct investment (FDI) in retail. Thats the message from the monthly Youth Congress newsletter, which has now been upgraded to a well-produced magazine titled Yuva Bharat. One article in the journal argues that the opposition to FDI in retail only benefits the middlemen and political parties who make a living out of peoples misery. It doesnt name the Trinamul Congress, which staunchly opposed retail FDI a few weeks ago, but has a subtle message for it: The Left has been voted out of West Bengal because they did not understand their economics. The article, whose authors are not essentially from the Congress, cites how Parliament was stalled on the FDI issue by parties of different ideological hues, from saffron to red, who are all out of sync with what the nation wants. It recalls what Rahul had told a rally in Farrukhabad: FDI is more about potato farmers of central UP and Punjab than about anxious executives of multi-national corporations planning investment in India. The Youth Congress, which has left the parent party far behind in matters of organisational elections and institutional training, seems to have beaten it in the quality of its journal, too. The Congress mouthpiece is a shoddily produced publication that contains old speeches of Sonia Gandhi and Manmohan Singh in addition to sycophantic articles by in-house writers. Yuva Bharat, on the other hand, offers a wider perspective on a range of subjects, dealt with by authors from varied fields. If there is a party-centric article on the recent convention of elected Youth Congress office-bearers, there are write-ups by outsiders ranging from cricket experts to a JP Morgan executive who is an IIT and IIM alumnus. The cricket World Cup triumph, however, has been treated from the angle of the youths aspirations."
4,Another farmer commits suicide in Burdwan,http://www.thehindu.com/todays-paper/tp-national/another-farmer-commits-suicide-in-burdwan/article2767426.ece,2012-01-02,The Hindu,"A farmer allegedly committed suicide here by consuming poison due to crop loss and mounting debts, official sources said on Sunday.Amiya Saha (45) was found on Saturday night in his field after he had consumed pesticide, the sources said.He was rushed to Burdwan Medical College hospital in a serious condition, where he succumbed, they said.Saha's family sources said that he had taken loans at high rate of interest for potato cultivation and was also unable to sell his paddy harvest.He was depressed for the last few days as he failed to sell his harvest, and also his potato crop on eight bigha land suffered damage, Saha's wife Jharna said.The police and civil administration said Saha's family is claiming that he committed suicide due to crop loss and mounting debts, and are investigating the matter.On December 20, farmer Barun Pal (42) of Bhatar had committed suicide by consuming pesticide in this district, which is considered the rice bowl of the State. - PTI"
5,Mamata puts onus on Centre for farmers' plight,http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/mamata-puts-onus-on-centre-for-farmers-plight/article2773445.ece,2012-01-04,The Hindu,"Even as the State Government is facing criticism from several quarters with reports of ten farmers committing suicide in the last few months Chief Minister Mamata Banerjee here on Tuesday puts the onus for the crisis on the Centre.Alleging that both the Communist Party of India (Marxist) and Congress are indulging in false propaganda against the State Government on the issue, Ms Banerjee said that she wished to clarify that the minimum support price of paddy the low amount contributing to the woes of the farmers-- was not fixed by the State but by the Centre.While Left peasant organisations have called for a cessation of all agricultural activity across the State on Wednesday in protest against conditions the farmers are having to face the State's unit of the Congress has called for a demonstration in the city on the same day to highlight the crisis facing the farmers.Even I want prices (minimum support price) to rise But even if I wish I cannot do it, Ms Banerjee said addressing a press conference at the State Secretariat.Ms. Banerjee said that the prices of fertilisers have not been increased by the State. It was the Centre that has lifted the subsidies on it which has increased the burden on farmers.The prices of fertilisers were decontrolled in 2010 when the CPI (M) Government was in power, she said.Ms Banerjee said that she has discussed the issue of high prices of fertilisers with Union Finance Minister Pranab Mukherjee and also written to the Centre about it.The Left Parties have pointed out that the State Government has dismantled the entire mechanism of buying produce from the farmers by introducing a system in which farmers have to sell paddy at rice mills and receive payments only through cheques.Ms Banerjee however defended the move saying that the government wants the money to go directly to farmers and not any agents.She said that for potato farmers the government has made arrangements that the crops will be kept for a longer period in cold storages.We have set aside Rs 10 crore so that farmers can are able to export their potatoes, Ms Banerjee said.The Chief Minister said that the problems faced by farmers were a result of the absence of planning on the part of the earlier Government and her Government has had to start from scratch.Ms Banerjee said that the government is setting up Kisan Mandi' in every block and trying to arrange for insurance for farmers."
6,"Production looks up, farmers downcast",http://www.thehindu.com/todays-paper/tp-national/production-looks-up-farmers-downcast/article2773051.ece,2012-01-04,The Hindu,"Buoyed by a record food production (241.56 million tonnes) in 2010-11 and expectation of the highest ever (123.95 million tonnes) output in kharif of 2011-12, the Centre has projected a total output of 245 million tonnes in 2011-12. This, despite the the sown area being lower in wheat, oilseeds, pulses and coarse grains this rabi season. Rabi paddy, though, has improved over last year.Agriculture Ministry officials appear satisfied with the progress made in 2011(calendar year). In fact, the Ministry recommended lifting of the ban on export of wheat and rice in view of the comfortable stock position. Wheat exports, prohibited since October 2007, have been allowed under Open General Licence since September 2011.Of special significance to the officials is that the major increase in foodgrains production has come from the non-traditional States of Rajasthan, Andhra Pradesh, Uttar Pradesh, Maharashtra, Karnataka, Chhattisgarh and Gujarat.However, the year was also marked by continuing suicide by farmers, testifying to the fact that the growers remain in debt and are distressed, not getting remunerative price for their produce. Recently, Punjab farmers threw away their potato produce as it did not fetch them enough even to cover the input costs. There is also a simmering discontent among farmers over the shortfall in fertilizers.In Andhra Pradesh, farmers have taken a crop holiday and Punjab farmers are threatening to do the same. In fact, there are worrisome reports of Punjab farmers shifting from traditional to cash crops like sweat peas and maize this rabi. In recent years, maize, a cash crop, has emerged as a preference for its requirement in the poultry sector. With the problem of storage (of wheat and rice) staring the government in the face, some diversification is acceptable to it, especially as the requirement of foodgrains for its mandatory obligation under the National Food Security Bill is still far away.ControversyThe Bill, introduced in the Lok Sabha during the winter session, has been referred to the Standing Committee. In any case, the passage of the Bill is embroiled in a controversy over the Socio-Economic Caste Census that is supposed to facilitate identification of beneficiaries. Uttar Pradesh and Bihar have raised objections. At the same time, a technical panel in the Planning Commission has been asked to look into the poverty estimates recommended by the Suresh Tendulkar Committee.All of this was reflected in the difficulty Agriculture Minister Sharad Pawar faced in responding to the Rajya Sabha debate on the agrarian crisis and farmers' suicides. A cornered Minister took refuge in the fact that several issues related to agriculture such as irrigation, power, fertilizers, credit and storage were not within the purview of his Ministry. However, cutting across party lines, Opposition members did not relent until Mr. Pawar came up with the suggestion to form a House committee to study the matter.For the record, with a paltry allocation of Rs. 400 crore, the Agriculture Ministry turned its focus during 2011 to enhancing production in the eastern States of Bihar, Assam, Jharkhand, Chhattisgarh, Odisha, eastern Uttar Pradesh and West Bengal under the Rashtriya Krishi Vikas Yojna. The allocation is considered poor by most States as it has to be implemented in a difficult terrain with poor infrastructure.Under the National Food Security Mission for crop development, the best achievement so far is in pulses: from a stagnating level of 14.5 million tonnes over the past 15 years, the production in 2010-11 reached 18.09 million tonnes. The adoption of 60,000 pulses villages gave a boost to the programme.Pigeon pea genomeRecently, Indian Council of Agriculture Research scientists, in collaboration with State Agriculture Universities and Banaras Hindu University, succeeded in decoding the pigeon pea (arhar) genome. Use of pigeon pea germ plasm resources is expected to accelerate the development of new varieties and hybrids brightening up the chances of higher productivity of pulses.During the year, the government set up the Norman Borlaug Institute for South Asia with centres in Ludhiana (Punjab), Samastipur (Bihar) and Jabalpur (Madhya Pradesh). The institute will collaborate with others globally to meet food security challenges.The ICAR also launched a National Initiative on Climate-Resilient Agriculture for conducting research in adaptation and mitigation to climate change in crops, livestock and fisheries, and for natural resource management.All in all, the year that went by was a lucky one for crop production, in that the monsoon was favourable. The challenges in the coming year are high input costs, fertilizer shortage, making agriculture remunerative and finding storage space for farm produce, not to mention the wait and watch for a normal monsoon."
7,Food inflation dips to -3.36 percent; RBI may cut rates,http://www.deccanherald.com/content/216883/food-inflation-dips-336-percent.html,2012-01-05,Deccan Herald,"New Delhi, Jan 5 (IANS) 18:57 ISTThe sharp drop in food inflation and easing in overall inflationary pressure may prompt the Reserve Bank of India (RBI) to cut policy rates in its next monetary policy review later this month.The annual food inflation fell to -3.36 percent for the week ended Dec 24, as compared to 0.42 percent in the previous week and 20.84 percent during the corresponding week of last year.""There has been substantial improvement. Food inflation has turned negative for the first time in recent memory,"" Finance Minister Pranab Mukherjee told reporters, reacting on the weekly data.Food inflation during the week under review was the lowest since April 2006. After remaining near double-digit for almost two years, food inflation has dropped sharply in the last two months. It has dipped for the ninth consecutive week.It came down to single-digit in the second week of November and has slid consistently since then. It was recorded at 10.63 percent for the week ended Nov 5. The sharp decline in food inflation is partly because of the base effect and also improved supply of seasonal crops. During the corresponding weeks of last year, annual inflation was almost near 20 percent.The data released by the ministry of commerce and industry showed the prices of vegetables were less than half during the week when compared to the prices in the corresponding week of last year.Onions became cheaper by 73.74 percent while the price of potatoes dropped by 34.01 percent year-on-year. Inflation in overall primary articles, which has 20.12 percent weightage in the wholesale price index, also dropped sharply to 0.10 percent for the week ended Dec 24 as compared to 2.70 percent in the previous week and 22.68 percent in the corresponding week of last year.However, fuel and power inflation rose marginally to 14.60 percent during the week under review as compared to 14.37 percent in the previous week. Economists said the recent drop in food inflation and easing in overall inflationary pressure may prompt the central bank to cut interest rates.""The environment appears to be in favour of the Reserve Bank of India reversing its monetary policy stance,"" said C. Rangarajan, chairman of the Prime Minister's economic advisory council.The RBI last month kept policy rates unchanged after hiking the key rates 13 times since the beginning of 2010. Rangarajan said food inflation was likely to remain near zero or in the negative territory till March.""This was expected as the seasonal trend has caused vegetable prices to come down in the recent months. I see food inflation negative in January and negative or close to zero by March.""The fall in food inflation has raised hopes of a decline in headline inflation based on the wholesale price index which, according to the latest available data, was recorded at 9.11 percent in November.Rangarajan said the overall inflation would fall below 7 percent by the end of the current financial year.The following are the yearly rise and fall in prices in the week under review of some main commodities that form the sub-index for food articles:Onions: (-) 73.74 percentVegetables: (-) 50.22 percentFruits: 10.87 percentPotatoes: (-) 34.01 percentEggs, meat, fish: 13.82 percentCereals: 1.97 percentRice: 1.46 percentWheat: (-) 3.41 percentPulses: 13.85 percent"
8,Food inflation turns negative; RBI may cut interest rates,http://timesofindia.indiatimes.com//business/india-business/Food-inflation-turns-negative-RBI-may-cut-interest-rates/articleshow/11375377.cms,2012-01-05,The Times Of India,"NEW DELHI: Food inflation turned negative in late December for the first time in many years as prices of vegetables like onion and potato declined, a development that may prompt the Reserve Bank of India to go for rate cuts at its next monetary policy review later this month.Food inflation, measured by the wholesale price index (WPI), plunged to (-) 3.36 per cent as on December 24. This is the first time in almost six years, for which data with base year 2004-05 is available, that food inflation has shown a decline on an annual basis.Encouraged by the development, finance minister Pranab Mukherjee said, ""There has been substantial improvement. Food inflation has turned negative for the first time in the recent memory.""Food inflation stood at 0.42 per cent in the previous week. It was 21 per cent in the corresponding week of 2010.According to official data released today, onion became cheaper by 73.74 per cent year-on-year during the week, while potato prices were down by 34.01 per cent. Prices of wheat fell by 3.41 per cent. Overall, vegetables became 50.22 per cent cheaper during the week ended December 24.The fall food prices has been substantial since the first week of November, when food inflation stood at double-digit.""The environment appears to be in favour of the Reserve Bank reversing its monetary policy stance,"" Prime Minister's Economic Advisory Council chairman C Rangarajan said.RBI, which has raised interest rates 13 times since March, 2010 to contain inflation, has already paused rate hike in its December mid-quarter policy review. The central bank is scheduled to announce next policy review on January 24."
9,Contract farming way out for potato growers,http://timesofindia.indiatimes.com//city/kolkata/Contract-farming-way-out-for-potato-growers/articleshow/11370291.cms,2012-01-05,The Times Of India,"BANKURA: Plummeting potato prices for three consecutive years have prompted farmers to switch to contract farming this season. The reason is obvious. No one wants to get burdened with loans after the farming when it costs Rs 14,000 a bigha. The trend is picking up in as many as 19 blocks of south Bengal - Hooghly, Burdwan, Birbhum, West Midnapore, Howrah and Bankura.""Potato farming is becoming disastrous with packets of the crop kept in cold storage offered at 50 paisa or one rupee a kilo without any taker,"" said Meghanjan Dutta of Shiromonipur village under Kotulpur block in Bankura.For them, tying up with the PepsiCo India is the only alternative for an assured return. ""It's not that they are offering much. But at least we are assured of the return six months ago. Also, we don't have to take the produce to the local mundi or transport them to the cold storage on our own,"" Dutta said.What is the contract? The farmer gives his land and labour. PepsiCo officials provide the seed - Atlanta and Chipsona - different from the traditional Jyoti or Pokhraj variety and the technology support. They supervise the cultivation and give advice to farmers from time to time. After the yield they take the produce to their own storage. The farmer gets Rs 6 for each kilo of potato. Advantage for the hapless farmers is that they get to know about the procurement price while they start sowing the seeds. They get crop insurance, seeds and loans from PepsiCo agents that they need to pay after the yield.Meghraj Dutta, owner of 6 bigha of land, has had enough of traditional cultivation.""We didn't take to contract farming last year though the PepsiCo came to our village. We thought that the price on offer by the company was too low compared to the profit we made in the open market four years ago. But it didn't happen. Prices kept falling despite the rising input costs such as seeds, fertilisers, insecticides. I can't take it any more. I thus opted for contract farming though the procurement price is not high. The second thing is that the company won't take all the produce. It will grade potatoes and take those that suit its requirement. It becomes difficult to sell the reject low sugar potato variety. But then it is better than what we are facing now,"" Dutta said.Owner of two-bigha land Chittaranjan Nandi of Panahar village has also joined hands with PepsiCo. ""With the profit I earned five years ago I married off my two daughters. Now I can't support my son studying at the Chandernagore Government College even. I can't take the risk,"" Nandi said. Shyamsundar Guin from the Galsi block in Burdwan is also going for contract farming on 10 bighas of land. ""Some farmers in the Kalna block have also opted for contract farming,"" Guin said.Sensing the mood, the PepsiCo Holdings India has doubled its target this year. It plans to rope in 9,000 farmers doing the job in 5,000 acres of land. Assistant manager PepsiCo, Fritolay division Prabal Roy said: ""We are not going for direct purchase from farmers. We are procuring the produce through vendors. Last year purchased 10,000 tonnes of potato and sent it our stores. We plan to procure 20,000 tonnes this season. We won't release this potato in the market. We thank the state government and officials of allowing us approach the villagers.""Incidentally, PepsiCo made an entry into potato farming in Hooghly during the Buddhadeb Bhattacharjee government. During the Left Front tenure, it could not make foray in Bankura because of political opposition.Sukdeb Shyam of Baghrol village in Bankura, however, stood out as one who has taken to traditional farming even this season. Shyam owns 15 bighas of land and is in a position to sustain the loss. ""I suffered a loss of Rs 7,000. But I am not into contract farming. I hope to make profits from the traditional variety this season. The price on offer by the PepsiCo is not encouraging,"" said Shyam.Deputy director Bankura agriculture division Abani Mohan Hazra said PepsiCo approached the division. ""Their (PepsiCo) officials told us that the company had been carrying out commercial farming on an experimental basis. This time, they want to go for it in a big way. With farmers in distress we chose not prevent them. We asked them to get in touch with the farmers directly and carry out the cultivation if they agree,"" Hazra said."
