,articleTitle,articleUrl,publishedDate,sourceName,text
0,No Proof Required: Tipping point 2015,http://indianexpress.com/article/opinion/columns/no-proof-required-tipping-point-2015/,2015-01-02,Indian Express,"Economists have already started talking, and analysing, developments in the post-crisis period, where the crisis in question is the Global Financial Crisis of 2008-2009.You like potato and I like potahto/ You like tomato and I like tomahto  Gershwins, 1937, Lets Call the Whole Thing OffThe last few years have been difficult for any and all forecasters, so I approach the prognosis for the future with a considerable degree of trepidation. But try one must, and my forecast is made easier by the fact that my DNA is ++.If one peruses historical literature on growth, inflation, and much else, analysts always note, and separate, developments in the post-war period from what happened in the pre-war period. The war in question is World War II. Economists have already started talking, and analysing, developments in the post-crisis period, where the crisis in question is the Global Financial Crisis of 2008-2009. The recovery period of 2010 is often ignored in discussions about the post-crisis period, a convention I agree with and follow.The reason for a distinct, if not separate, view of the world post-crisis is because the crisis was a tipping point in the world economy as we knew it. And like all tipping points, it wasnt as if the world changed overnight. The change process has been in operation at least since 1980, when China began to reform, and since 1991, when India began to reform and the internet invaded our lives. What mattered for the global economy were global developments, and not individual country policies. With a large increase in the global supply of workers, inflation in particular ceased to be purely a domestic policy concern. That does not mean that individual country polices did not matter; rather that they began to matter less and less.The median inflation rate in the developed world has averaged 2.0 per cent over the last four years (2011-2014), with both 2013 and 2014 registering the lowest rates, around 1.3 per cent! For developing economies, the average median inflation rate has averaged 4.4 per cent, and with the last two years averaging the lowest, at around 3.8 per cent each year.The only manner in which an economy could guide its own misfortune was for it to remain closed to international developments, and prices. (This India did with regard to food prices, and paid a heavy price with inflation averaging close to 10 per cent in 2011-2013.)In terms of growth, the world economy has been on a downer for these four years. Except for a large island continent called the United States, the developed world has averaged less than 1 per cent growth per annum for the last four years. The developing world has been averaging a GDP growth of only 5.4 per cent per annum.Simply, that it is time now for all monetarists and fiscal hawks to call it a day. I have long felt that it is the easiest thing in the world to be a monetarist and/ or a fiscal hawk. How can you go wrong with an identity  money supply growth just has to equal the money value of output.And since world output has been growing at the slowest pace, well then, all that money supply growth had to have led to higher inflation.More QEs (of the quantitative easing variety) have sailed in the last three years than through all the ages. They have had a British colour as befits an island that gave us the Titanic; they have come from the ultra-conservative, and ultra-monetarist shores, of the erstwhile Weimar Republic; they have sailed from the island that attacked Pearl Harbour; and from the continent that solidified the doctrine of monetarism in the late-1950s (and that presciently gave it up in the mid-1980s). Yet, all these ships have steamed ahead without causing a flutter in prices; indeed, the rate of inflation has steadily come down, and done so in almost every country.But the monetarist hawks have been undeterred, in the world, as in India. They are confident and proud becausethey have a non-falsifiable identity on their side. Except, a funny thing has happened, unknown to the identity hawks. It is called the velocity of money, something that makes blindly following an identity a case of the blind following the blind.The flip side of the blind monetarist is the equally blind fiscal deficit hawk. Prices have to go up, and growth has to go down, when the fiscal deficit expands. Again, the record just does not support that argument. The world went through a deficit binge in 2009 and 2010, as growth recovery was attempted. In some countries there was extra growth, but in almost all countries, there was lower inflation. Again, India was the exception because its policymakers (and many of its economists) were ostriches to the outside world.Over the last few months, oil prices have achieved a large structural break downward. Other commodity prices are following, or will follow, a downward trend. Inflation is stabilising at less than 2 per cent for the developed world, and 4 per cent for the emerging economies. The world economy is poised to get back to the 4 per cent growth range over the next two years, a considerable jump from the recent average of 3.3 per cent. This is not the consensus expectation  far from it. But differences in opinion provide for the existence of horse races. The US is expected to lead the revival for the developed world, and India for the developing world. Achhe dinare coming for the world economy starting today, January 1, 2015.The writer is chairman of Oxus Investments, an emerging market advisory firm, and a senior advisor to Zyfin, a leading financial information company.For all the latest Opinion News, download Indian Express App"
1,Veggie prices skyrocket with dip in temperature in Jaipur,http://timesofindia.indiatimes.com//city/jaipur/Veggie-prices-skyrocket-with-dip-in-temperature-in-Jaipur/articleshow/45737438.cms,2015-01-03,The Times Of India,"JAIPUR: Snowfall in Himachal Pradesh, dense fog in Uttar Pradesh and abrupt rains in parts of Madhya Pradesh have led to sharp increase in vegetable prices across Rajasthan in the past three days. The record dip in temperature in the state also damaged standing crops, reducing the inflow of homegrown vegetables.After a long spell of low price rates and good production of vegetables in state, the price index are fast rising. Cold waves and fogs have restricted the movement of trucks affecting the prices in Jaipur. Supply from HP and UP have been hit badly due to the weather conditions. Similarly, supplies from Haryana, Punjab and Uttrakhand have also fallen.""Against the normal arrival of 10-15 trucks daily, only 3-5 trucks are reaching to Jaipur with delay of three days. So far, the demand is being met from supplies from Chomu and around Jaipur. But with decrease in temperature, their production will be adversely affected and will further trigger an upward trend,"" said Ashok Agarwal, a vegetable trader in Mohana Mandi.According to Agarwal, compared to previous years, vegetable production has been low in the state and said any minor change in weather may lead to huge gap in demand and supply. ""Farmers told me that not much crops were harvested this season. There has been some increase in prices but customers have to remain be very cautious in the coming days,"" said Radheyshyam Phatak, president of the Rajasthan Fruits and Vegetable Traders Association.He added that green vegetables which used to be available in abundance during winters are now in short supply. ""In no winter, I have seen fenugreek (methi) selling at Rs 22 per kg in wholesale. Mustard green (Sarasan ka Saag) has reached Rs 30 per kg. It is largely because they are just not coming to the market from farms"".The rising demand from Pakistan for Indian tomatoes has also led to a price hike. ""20 trucks of tomatoes daily are going from Bangalore and Delhi towards Pakistan instead of coming to Rajasthan. Prices have risen by 10% to Rs 20 a kg in the past 10-15 days,"" said Yogesh Singh, a trader of tomatoes and potatoes at Mohana Mandi.VegetableWholesaleRetailSpinach 14-1835-40Peppermint leaves20-2230-35Peas25-3050-55Radish 3.50/piece5/pieceLemon35-3855-60Cabbage15-1830-35Onion20-2535-40"
2,"Winter rain, a boon for farmers",https://www.telegraphindia.com/1150105/jsp/jharkhand/story_6703.jsp,2015-01-05,Telegraph,"The recent downpour has cushioned irrigation woes Ranchi, Jan. 4: The shiver, the slush on roads and frequent power cuts notwithstanding, scientists at Birsa Agricultural University (BAU), Kanke, are of the opinion that the recent showers are a blessing. ""Showers that lashed the state for the last two days are a boon for all types of standing rabi crops like wheat, mustard, peas, barley and gram. These are sown in late November or early December and at present are in the vegetative or pre-flowering stage. Watering at this time is good. The intermittent rain helps the soil absorb moisture,"" said BAU's chief scientist D.N. Singh. Explaining the advantages, Singh said that as a result of the sudden showers, the soil would retain sufficient moisture for the next 15 to 20 days. ""The downpour has taken care of the farmers' worries regarding irrigation and related costs,"" Singh added. Besides, the rain has also pulled down temperatures and reduced the rate of evaporation. A lower rate of evaporation will help retain the present level of ground water. But all is not well. The showers have also brought fresh problems for the farmers. ""Since the soil is moist, weeds will grow fast. Farmers will have to take extra effort to remove the weeds and top their fields with urea to increase production,"" said the BAU chief scientist. A.Wadood, chairman of the department of agricultural physics at BAU, echoed him. ""The showers have helped add sufficient moisture to the soil, thereby relieving farmers of incurring additional cost of irrigation. But, a sharp fall in temperatures brings with it the dangers of pests and various farm diseases,"" he said. Original Recent rains both a blessing and a curse, say farm scientists RUDRA BISWAS Ranchi, Jan.04: The shiver, the slush on the roads and frequent power cuts caused by trees tumbling on overhead transmission wires notwithstanding, agriculture scientists at Birsa Agricultural University (BAU), Ranchi, today stressed that the recent rains are both a blessing and a curse. The past two days ofrains are a blessing for all types of standing rabi crops "" wheat, vegetables, lentils, mustard, potato, peas, barley, gram, linseed etc. These crops were sown in late November or early December and at present are in the vegetative or pre-flowering stage. Watering at this point of time is very good for them as the intermittent rains help the soils to absorb a lot of moistre,? D.N.Singh, chief scientist, BAU told The Telegraph. Though the rains disrupted normal life, they have made farmers happy. The rains have ended their worries about irrigation and the attendant additional costs. As a result of therains, the soils would retain sufficient moisture for the next 15 to 20 days. The rains have drastically reduced the cost of cultivation as no irrigation would now be needed and farmers would no longer have to run their diesel pump sets to water their fields, at least for the next three weeks. There is considerable savings at the farmers end, Singh explained. ""For the standing wheat crop,in particular, which needs a lot of water at this time, the rains have been a real blessing. Besides the rains and subsequent drop in temperatures have also helpedreduce the rate of evaporation. Prior to the rains, there were reports from all over that wells and ponds have already begun to dry up. A lower rate of evaporation will help to retain the present levels of ground water,"" he added. The advantages apart, the recent rains bring problems as well for farmers. Since the soils are moist, weeds would grow fast. Farmers would have to take care to remove the weeds as quickly as possible and top their fields with urea to increase production and productivity,? the BAU chief scientist(rice) said. A.Wadood, chairman, department of agricultural physics, BAU,Ranchi,too stressed that the past two days of rains have benefitted all types of standing rabi crops. The rains have helped to add sufficient moistre in the soils thereby relieving farmers of incurring additional cost on irrigating their fields, At the same time they have caused a lot of discomfort to us,? Wadood told The Telegraph. However, farmers would need to take extra caution to protect the crops from pest attacks and diseases. A sharp fall in temperatures brings with it dangers of protecting the standing crops from pests and various farm diseases. Through different channels we have begun to advise farmers throughout the state to spray pesticides in their fields to protect their standing crops from pest attacks and diseases, Wadood warned. Particularly vulnerable is the potato crop due to sudden drop in temperatures. A disease called  blight caused in moist conditions and under falling temperatures, can destroy an entire crop field overnight, he added. In case temperatures drop below 5 degree Celsius, farmers would do well to resort to natural fumigation by burning waste products like dried grass, leaves and twigs in their fields to ward off pests and farm diseases,? he stressed. EoM"
3,Unchecked export to Pakistan leaves vegetables in Delhi pricy,http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/unchecked-export-to-pakistan-leaves-vegetables-in-delhi-pricy/article6762097.ece,2015-01-07,The Hindu,"According to Agricultural Produce Marketing Committee member Mahinder Kumar, unregulated export of vegetables to Pakistan has led to prices here shooting up by nearly 50 per cent. File Photo: V.V. KrishnanPrices of vegetables in the city seem to have escalated with each passing day last week and the increase can be attributed to unbridled export of vegetables to Pakistan.Agricultural Produce Marketing Committee member Mahinder Kumar said unregulated export of vegetables to Pakistan has led to prices here shooting up by nearly 50 per cent.Wholesale prices were stable last month. However, over the past week, prices have gone up as key vegetables like tomatoes are being exported to Pakistan, he said.What happened this time around was that rains were untimely and the harvest was not much. Despite the produce not being enough, export to Pakistan continues unabated. Truckloads of vegetables like potatoes, peas and tomatoes continue to be exported, resulting in escalation of cost here.The government, Mr. Kumar said, has failed to frame a policy to ensure that vegetables are exported only when there is sufficient stock in the city. At least 100 trucks of vegetables are being sent to Pakistan daily. One truck can carry 20 tonnes of a particular vegetable.The Delhi Government, on the other hand, has claimed that prices of onions, potatoes, tomatoes and other vegetables are 10 per cent to 30 per cent less than last year. It also claimed that prices of many vegetables have shown a decline in the past three months, with supply of key vegetables being much higher in December 2014 compared to that in December 2013.Meanwhile, tomatoes, which used to cost Rs.5 per kg in the wholesale market, are currently being sold for Rs.25 per kg. Peas, which were available in the wholesale markets across Delhi for Rs.10 per kg, are being sold for nearly Rs.30 per kg. Similarly, prices of capsicum have gone up to Rs.70 per kg from Rs.45 per kg a week ago.Traders at Azadpur mandi added that the wholesale price of potatoes has increased to Rs.20 per kg from Rs.10-Rs.15 per kg a week ago. However, the price of onions is more or less stable at Rs.15-Rs.20 per kg.Traders say that cauliflower, which is generally available for Rs.10 per kg, is currently selling for Rs.80 per kg. However, this is due to farmers opting not to grow cauliflower considering less returns last year.The bad news, they say, is that prices are going to increase further and there is no respite in sight."
4,Veggie prices fall as field beans flood markets,http://www.deccanherald.com/content/452405/veggie-prices-fall-field-beans.html,2015-01-08,Deccan Herald,"Veggie prices fall as field beans flood marketsBengaluru, Jan 08, 2015, DHNS: 0:38 ISTBuyers have a field dayVegetable prices have headed downwards in the last couple of days, much to the relief of consumers.The icing on the cake, though, is the fact that the prices will remain affordable till at least the end of this month. The entry of field beans (avarekai) into the market and their sale in huge quantities has lessened the demand for other vegetables, thus reducing their prices, say traders.Prices of most vegetables, barring the peas, are presently between Rs 10 and Rs 30 a kg at wholesale markets, the traders said.Speaking to Deccan Herald, R V Gopi, president of the Vegetable and Fruit Wholesale Merchants Association, said, Among the vegetables, the prices of beans have decreased the most from Rs 35Rs 40 a kg last week to Rs 15-Rs 20 this week.Tomatoes and potatoes are being sold at wholesale vegetable markets at prices between Rs 10 and Rs 20 per kg. There is a reduction in the vegetable prices by 40 per cent.He said that at least till Makara Sankranti that falls on January 15 this year, the demand for field beans will be higher than that for other vegetables.Traders in Kalasipalyam said that the market had been receiving more than 200 tonnes of field beans every day since January first week. Sources in Hopcoms pointed out that compared to the corresponding month last year, the prices of field beans are much cheaper this time.The production of field beans is high, making them available at cheaper rates. However, farmers growing other vegetables are facing losses, an official from Hopcoms said.Meanwhile, the prices of basic kitchen ingredients such as ginger and garlic remain unchanged and are being sold at Rs 70 to Rs 100 per kg respectively.The prices of green chillies have come down from Rs 75 per kg to Rs 60. The prices of coriander leaves have reduced by 20 per cent, said Shankar Gowda, a wholesale vegetable trader from Girinagar."
5,Farmers to get soil  health cards,http://www.deccanherald.com/content/452619/farmers-get-soil-health-cards.html,2015-01-09,Deccan Herald,"Bengaluru, Jan 10, 2015, DHNS: 1:41 ISTThis month, the Union government will start issuing soil health cards to farmers that can be renewed every three years, Union Agriculture Minister Radha Mohan Singh saidon Friday.Speaking at the launch of Krishik Bharati Cooperative Limiteds (KRIBHCO) neem-coated urea, he said under the Jan Dhan scheme, soil health cards will be distributed and also permanent soil testing laboratories would be set up.Cards will be issued to over 14 crore farmers at a cost of Rs 568 crore and soil testing laboratories will be set up at a cost of Rs 56 crore in three years time.Till now, farmers used fertilisers without knowing anything about the soil condition. But now, they can get their soil tested by showing their card at the centre and choose the fertiliser,"" he added.On a pilot basis, the government will purchase potatoes and onions from the market when their prices drop. When the prices increase, the government will sell them to people at low rates. This way, middlemen will be eliminated, the minister said.Union Fertilisers Minister Ananth Kumar, who was also present on the occasion, said the Central government was planning to set up six urea fertiliser production units in the country out of which one would be in the State.""The plant would be set up on a 500-acre land. While the central government will set up the unit, the State government will provide the land. There are 30 urea plants existing in the country already.""He said, there will be a discount of Rs 29 on purchase of one bag of neem-coated urea.Pay compensationUnseasonal rainfall and drought had led to crop loss and financial losses to the farmers, said Horticulture and Agriculture Marketing minister Shamanur Shivashanaka--rappa.He was speaking at the inauguration of a three-day inter-state horticulture fair Sangam- 2015 on Friday.The Union government is yet to pay Karnataka farmers Rs 800 crore as compensation. While Kerala and Tamil Nadu farmers have got the compensation at Rs 30,000 per acre, it has not been paid here, he said.He urged Union Agriculture Minister Radha Mohan Singh, who was present at the event, to look into the matter.DH News Service"
6,Vegetable Prices Dip in Indore as Supply Improves,https://www.hindustantimes.com/indore/vegetable-prices-dip-in-indore-as-supply-improves/story-W2tTwGuAWs0lK2lGjwmPZO.html,2015-01-11,Hindustan Times,"Consumers have something to cheer about as vegetable prices have come off their peak levels witnessed earlier this week. Traders attribute it to increase in supply and farmers say that the output has gone up because of favorable weather conditions.Earlier this week, prices of tomato and certain green vegetables had shot up because of unseasonal rains. Prices of vegetables including spinach, fenugreek, cucumber, tomato and many other seasonal vegetables have now come down by about 20%. While tomato prices have come down from Rs 30 per kg to Rs 20 per kg, onion and potato prices have also come down marginally in the past two to three days.""The supply has increased and prices have come down even though demand continues to be high due to marriage season,"" wholesale trader Vinod Kumar told Hindustan Times.""Harvesting of vegetables like spinach and fenugreek (methi) is in full swing and so there has been a steep fall in the prices of green leafy vegetables. This will put pressure on prices of other vegetables,"" Kumar said.Agriculture experts have now stressed upon increase in government expenditure on improving the infrastructure to raise the farm output and also take steps to enhance the storage and handling capacity. The key reform, say experts, is changing the dynamics of handling (transportation) and storage and also parameters of vegetable production to increase production capacity.""Shrinkage in area under vegetable cultivation has also become a matter of concern as villages near the urban areas are giving way to townships,"" said agriculture expert Samar Singh.The onus, say experts, is on the government to make agriculture more profitable for farmers to stop selling the fertile land."
7,Storages eye higher capacity,https://www.telegraphindia.com/1150114/jsp/business/story_8275.jsp,2015-01-14,Telegraph,"Ramapada Paul in Calcutta on Tuesday. Picture byKishor Roy Chowdhury Calcutta, Jan. 13: Cold storage units in Bengal are hoping for better capacity utilisation with potato production in the state likely to go up to 110 lakh tonnes in 2014-15. Potato is the major produce which is kept in cold storage units across Bengal. According to the representatives of the West Bengal Cold Storage Association (WBCSA), the 435 storages in the state would load potato from March and release them from May. ""The crop coverage area has gone up 10 per cent to 4.5 lakh hectares over last year. Based on the coverage area, we are expecting production of 110 lakh tonnes in 2014-15,"" said Ramapada Paul, president of the WBCSA. Patit Paban De, a member of the association, said that the combined capacity of the cold storage units in the state was around 62 lakh tonnes per annum, which is adequate after factoring in direct consumption. ""The capacity utilisation levels over the last two years have increased to 90 per cent. With an improved area under cultivation, we are expecting the utilisation levels to further improve,"" said De. He added that capacity would also increase around 3 per cent in the fiscal year 2014-15. WBCSA members, however, said that the state government needs to consider another revision in rentals because of the rising operating costs. The state government had last hiked the rents by Rs 19 per quintal in 2013. De also said that a large part of the total potato production in the state was being supplied to neighbouring states - such as Odisha, Jharkhand, North East and even in the south to Andhra Pradesh and some parts of Tamil Nadu - and the state is earning a significant revenue through such sale. Asked about the potato price movement, WBCSA officials said the price was unlikely to come below Rs 10-12 per kg at retail level. The association will celebrate its golden jubilee on 19th and 20th January."
8,India's wholesale inflation at 0.11 in December 2014,http://www.deccanherald.com/content/453427/indias-wholesale-inflation-011-december.html,2015-01-14,Deccan Herald,"India's wholesale inflation at 0.11 in December 2014New Delhi, Jan 14, 2015, IANS: 13:50 ISTIndia's wholesale price index (WPI) based inflation fell to 0.11 percent in December 2014 from 6.40 percent in the corresponding month of 2013.The rate of inflation based on WPI was nil for November from 1.77 percent for the previous month (October).Data furnished by the commerce and industry ministry attributed the slowdown in WPI based inflation to slower increase in food and fuel prices.Food inflation in the month under review eased to 5.20 percent from an increase of 13.73 percent recorded in the corresponding month of 2013. Prices of major food articles like wheat, potatoes, onions, egg, fish and meat fell drastically.According to the WPI data, wheat prices decelerated by 2.46 percent from a rise of 7.64 percent year-on-year. Potatoes prices came down from an increase of 56.78 percent in December 2013, to a negative 4.78 percent.Onions prices contracted by 18.54 percent from an increase of 38.30 percent year-on-year. Egg, fish and meat inflation stood at 0.68 percent from a rise of 11.68 percent in December, 2013.Fuel and power inflation declined to 7.82 percent from an appreciation of 10.87 percent during December, 2013.The wholesale decline comes on the back of retail inflation falling to a low of five percent in December from 9.87 percent during the corresponding month of 2013.The December retail inflation was, however, a rise over the record low of 4.4 percent CPI registered in November 2014.The retail inflation rate recorded in November was the lowest since India started computing consumer price index (CPI) in January 2012. December's retail inflation increase came after fourth straight month of decline till November.The current WPI and CPI data will boost India Inc.'s hope for a rate cut from the apex bank in its next monetary policy announcement. The RBI has set a target for CPI inflation at 8 percent by January 2015 and 6 percent by January 2016.It has retained the economy's growth projection for current fiscal at 5.5 percent and said the future policy stance will be influenced by the inflation outlook."
9,Vegetable prices remain stable,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/vegetable-prices-remain-stable/article6791381.ece,2015-01-15,The Hindu,"Loads of sugarcane arrive at the markets in Vellore on Wednesday. Photo: C. VenkatachalapathyPrices of most of the vegetables remained stable, except for a slight difference, inspite of the Pongal festival.""The quality of the vegetables arriving at the market is also good,"" A. Balu, president of Vellore Town Nethaji Market Kaikari Vyabarigal Sangam said.For Pongal, people mostly buy brinjal, sweet potatoes, pumpkin, yam, lady's finger, plantain and ""vendhiya kerai"", he said.PricesThe rate of one kilo of local variety brinjal, the one with thorns, is Rs. 60, he said.He further addied that the rate of this variety has slightly increased in the last two daysbecause price of the regular variety costs between Rs. 20 and Rs. 25.Sweet potatoes cost Rs 8 to 12 per kilo, while a pumpkin is sold for Rs. 10. Apart from these, tomatoes cost Rs. 15 a kilo, while onions are priced at Rs. 20 to 25.With sugarcane being synonymous with Pongal, loads of sugar cane are arriving at the markets. He said a bunch of cane consisting 10 to 12 costs Rs. 350 to Rs. 400."
